"","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",32.458,39.974,40.891,32.84,29.888,26.475,24.709,22.807,55.557,74.231
"B Annualized Returns",18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",13.567,17.503,16.656,7.437,8.622,7.716,3.46,2.438,4.754,36.477
"P Volatility",25.4,26.85,29.24,28.59,28.18,28.13,28.2,25.63,17.74,20.61
"B Volatility",25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",-0.580000000000002,0.960000000000001,3.07,2.44,2.02,1.63,1.74,-0.510000000000002,0.919999999999998,4.6
"P Tracking Error",8.72,9.61,10.41,13.18,13.09,12.76,12.55,10.18,10,13.72
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.56,1.82,1.6,0.56,0.66,0.6,0.28,0.24,0.48,2.66
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.03,1.28,1.29,0.79,0.63,0.71,0.56,0.81,1.04,2.03
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.92,0.97,1.05,0.97,0.95,0.95,0.96,0.9,0.88,0.96
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.33,86.66,86.89,77.81,77.56,78.71,79.43,84.45,68.06,53.64
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-34.7087,-35.3557,-37.4505,-35.6381,-35.2001,-35.3632,-35.5468,-32.9309,-13.794,-11.1228
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",3.5968,2.9498,0.855000000000004,2.6674,3.1054,2.9423,2.06,2.7274,0.539399999999999,3.2106
