"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.348,10.182,4.942,5.987,17.64,7.826,-6.71,-0.521,0.139,-7.452,-8.262,6.851,2.087,0.393,-1.543,-9.082,-16.975,-0.041,14.113,10.217,13.471,28.454,24.569,-1.688,-12.984,3.326,-6.899,6.197,21.752,11.196,40.828,56.537,47.908,50.172,79.995,194.681,144.021,147.973,130.903,102.126,98.438,141.012,124.999,97.071,67.091,67.637,33.836,38.651,36.693
"B Annualized Returns",15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-1.799,-1.936,-7.565,-4.256,1.999,-1.444,-5.337,-0.694,-1.963,-3.621,-8.144,-4.903,-5.751,-8.335,-8.458,-8.836,-7.069,-4.789,2.408,-0.4,1.606,17.529,16.508,30.084,7.654,26.958,5.504,6.918,17.714,16.833,38.535,48.584,35.184,29.7,52.687,107.251,87.929,78.648,77.039,56.668,53.158,74.993,68.293,61.56,42.58,44.278,25.282,20.126,14.603
"P Volatility",18.06,17.39,19.68,19.05,19.29,21.49,24.04,22.11,20.22,17.66,17.18,19.25,16.71,15.02,16.11,14.42,16.54,14.1,14.36,16.26,15.69,16.69,15.76,24.68,34.47,44.45,46.89,43.61,43.34,44.84,46.41,45.71,48.77,46.98,46.05,27.4,27.16,27.61,26.18,25.15,25.51,30.26,25.34,22.39,21.32,20.78,21.37,19.94,19.26
"B Volatility",12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",5.34,4.24,6.7,7.18,5.7,8.16,9.37,6.44,4.14,2.2,2.64,5.08,2.01,0.289999999999999,1.58,1.61,2.53,1.86,2.54,4.61,3.97,5.1,4.18,13.6,5.11,11.98,14.42,10.05,8.95,10.67,12.42,11.63,12.77,10.38,9.84999999999999,10.88,10.24,11.25,10.54,9.76,9.85,14.63,9.7,8.96,7.22,6.94,10.08,6.41,3.99
"P Tracking Error",13.04,11.31,14.26,14.21,13.44,14.52,15.03,14.81,13.56,10.76,9.2,11.65,9.11,7.31,6.57,7.16,6.49,7.86,7.94,9.15,9.63,11.24,12.38,17.73,11.54,19.91,18.94,14.07,15.9,17.04,21.19,19.62,19.13,18.94,17.89,17.94,19.23,18.25,21.37,17.01,16.58,20.55,16.73,18.63,18.67,19.06,19.97,12.06,10.75
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
