"","3 Y 2018-01-23 to 2021-01-24","3 Y 2018-02-23 to 2021-02-24","3 Y 2018-03-23 to 2021-03-24","3 Y 2018-04-23 to 2021-04-24","3 Y 2018-05-23 to 2021-05-24","3 Y 2018-06-25 to 2021-06-24","3 Y 2018-07-23 to 2021-07-24","3 Y 2018-08-23 to 2021-08-24","3 Y 2018-09-24 to 2021-09-24","3 Y 2018-10-23 to 2021-10-24","3 Y 2018-11-26 to 2021-11-24","3 Y 2018-12-24 to 2021-12-24","3 Y 2019-01-23 to 2022-01-24","3 Y 2019-02-25 to 2022-02-24","3 Y 2019-03-25 to 2022-03-24","3 Y 2019-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.905,23.216,29.963,33.736,44.768,41.569,35.574,33.255,39.767,42.064,39.712,39.42,42.996,39.094,42.398,37.254
"B Annualized Returns",8.461,10.819,12.643,9.89,12.256,13.065,12.657,11.952,17.366,21.087,17.94,16.43,17.721,16.125,14.879,15.023
"AR DIFF(P-B)",8.444,12.397,17.32,23.846,32.512,28.504,22.917,21.303,22.401,20.977,21.772,22.99,25.275,22.969,27.519,22.231
"P Volatility",26.65,26.03,30.21,29.56,30.74,30.93,29.42,31.5,30.9,29.57,29.42,30.56,28.59,30.05,31.84,28.6
"B Volatility",22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",3.98,3.6,7.41,6.72,7.9,8.05,6.81,8.92,8.47,7.46,7.35,8.24,6.32,7.81,9.24,5.68
"P Tracking Error",11.57,10.66,13.63,15.14,15.7,15.59,14.96,16.02,15.47,15.07,14.53,16.08,15.39,16.26,16.75,13.36
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.73,1.16,1.27,1.58,2.07,1.83,1.53,1.33,1.45,1.39,1.5,1.43,1.64,1.41,1.64,1.66
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.7,0.62,0.94,1.6,1.94,1.91,1.69,1.32,1.64,1.13,1.17,1.55,1.64,1.7,1.8,1.5
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.06,1.06,1.2,1.12,1.17,1.18,1.13,1.22,1.21,1.16,1.17,1.18,1.08,1.15,1.22,1.11
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",80.85,83.01,81.37,73.83,74.78,75.67,74.35,75.93,76.59,74.74,76.56,73.19,70.6,71.02,73.95,78.3
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.9231,-35.5322,-38.1073,-36.9717,-37.4516,-37.4571,-35.7571,-38.0187,-37.3136,-37.6446,-38.5428,-39.2006,-36.5291,-37.8225,-39.4797,-37.9615
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",2.3824,2.7733,0.1982,1.3338,0.853900000000003,0.848400000000005,2.5484,0.286799999999999,0.991900000000001,0.660900000000005,-0.237299999999998,-0.895099999999999,1.7764,0.483000000000004,-1.1742,0.344000000000001
