"","3 Y 2018-01-23 to 2021-01-24","3 Y 2018-02-23 to 2021-02-24","3 Y 2018-03-23 to 2021-03-24","3 Y 2018-04-23 to 2021-04-24","3 Y 2018-05-23 to 2021-05-24","3 Y 2018-06-25 to 2021-06-24","3 Y 2018-07-23 to 2021-07-24","3 Y 2018-08-23 to 2021-08-24","3 Y 2018-09-24 to 2021-09-24","3 Y 2018-10-23 to 2021-10-24","3 Y 2018-11-26 to 2021-11-24","3 Y 2018-12-24 to 2021-12-24","3 Y 2019-01-23 to 2022-01-24","3 Y 2019-02-25 to 2022-02-24","3 Y 2019-03-25 to 2022-03-24","3 Y 2019-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",17.75,25.041,33.006,38.117,50.329,46.474,38.896,36.005,42.858,45.367,42.891,43.286,47.154,42.932,46.445,38.422
"B Annualized Returns",8.461,10.819,12.643,9.89,12.256,13.065,12.657,11.952,17.366,21.087,17.94,16.43,17.721,16.125,14.879,15.023
"AR DIFF(P-B)",9.289,14.222,20.363,28.227,38.073,33.409,26.239,24.053,25.492,24.28,24.951,26.856,29.433,26.807,31.566,23.399
"P Volatility",27.81,26.97,32.75,31.07,32.41,32.73,30.63,34.08,33.46,31.35,31.38,33,29.64,31.68,34.34,29.53
"B Volatility",22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",5.14,4.54,9.95,8.23,9.57,9.85,8.02,11.5,11.03,9.24,9.31,10.68,7.37,9.44,11.74,6.61
"P Tracking Error",13.75,12.6,16.75,17.01,17.41,17.39,16.68,18.78,18.24,17.28,16.76,18.75,17.51,18.45,19.41,14.53
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.68,1.13,1.22,1.66,2.19,1.92,1.57,1.28,1.4,1.41,1.49,1.43,1.68,1.45,1.63,1.61
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.77,0.73,1.11,1.88,2.24,2.21,1.94,1.46,1.82,1.28,1.32,1.76,1.91,1.94,2.02,1.58
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.07,1.26,1.15,1.22,1.23,1.15,1.29,1.28,1.2,1.22,1.24,1.08,1.17,1.29,1.13
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",75.13,77.8,76.46,70.32,72.67,73.67,70.63,72.61,73.06,70.72,73.12,69.47,64.39,66.52,70.73,76.09
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-36.4508,-35.8865,-39.7027,-37.7552,-38.226,-38.3191,-35.7911,-39.1872,-38.1122,-38.3479,-39.7608,-40.7218,-36.0772,-38.147,-40.7414,-38.5809
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",1.8547,2.419,-1.3972,0.5503,0.079500000000003,-0.0135999999999967,2.5144,-0.881699999999995,0.193300000000001,-0.0424000000000007,-1.4553,-2.4163,2.2283,0.158500000000004,-2.4359,-0.275399999999998
