"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.499,4.648,0.245,-3.774,-5.558,-7.252,-7.664,-2.469,-16.657,-11.321,-4.284,-6.085,-3.638,-9.836,-11.998,-3.398,-1.641,3.566,17.662,29.063,21.379,16.468,26.045,31.005,25.944,56.801,57.852,73.108,64.431,50.358,38.772,59.668,125.51,121.107
"B Annualized Returns",4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-9.366,2.115,-6.737,-8.737,-10.887,-12.967,-10.938,-6.876,-3.163,-3.832,3.371,-3.224,-3.154,-8.097,-10.287,-10.3,-11.375,-8.121,2.428,11.972,8.295,5.649,12.674,14.91,6.609,33.831,33.617,47.487,43.481,30.926,19.588,42.11,76.462,82.91
"P Volatility",18.92,20.09,21.5,19.62,17.6,17.03,17.03,18.21,19.79,23.72,31.65,32.57,33.36,35.15,38.24,34.91,35.04,37.29,40.49,38.52,39.2,38.33,42.14,43.82,38.45,45.2,47.62,49.07,45.4,38.41,35.73,40.92,31.83,32.41
"B Volatility",12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.17,6.43,7.87,6.3,4.1,3.56,3.83,5.58,7.03,0.93,7.23,8.17,8.7,10.01,13.53,10.5,10.7,11.75,14.52,12.54,12.8,11.76,15.58,17.18,12.47,19.31,21.45,22.92,19.24,11.91,9.27,14.78,15.01,16.4
"P Tracking Error",16.18,17.93,19.41,17.71,18.27,17.91,15.04,14.24,17.3,12.12,19.19,21.03,20.62,16.98,21.45,17.3,17.86,18.76,21.58,21.58,23.54,20.92,23.75,25.4,23.87,27.63,30.05,31.69,27.49,21.89,22.51,23.77,24.39,25.47
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.58,0.12,-0.35,-0.49,-0.6,-0.72,-0.73,-0.48,-0.18,-0.32,0.18,-0.15,-0.15,-0.48,-0.48,-0.6,-0.64,-0.43,0.11,0.55,0.35,0.27,0.53,0.59,0.28,1.22,1.12,1.5,1.58,1.41,0.87,1.77,3.13,3.26
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.59,-0.02,-0.2,-0.83,-0.59,-0.74,-0.86,-0.52,-0.61,-0.88,0.48,-0.09,0.13,-0.58,-0.87,-0.57,-0.73,-0.69,-0.35,0.43,0.66,0.57,0.87,0.84,0.94,2.14,2.1,1.52,2.16,2.11,1.56,2.91,3.68,3.36
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.8,0.72,0.73,0.7,0.43,0.42,0.68,0.9,0.78,0.9,1.03,1.02,1.07,1.25,1.32,1.27,1.27,1.3,1.37,1.25,1.2,1.23,1.36,1.4,1.17,1.45,1.5,1.53,1.45,1.21,1.05,1.31,1.24,1.28
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
