"","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.564,13.356,12.35,8.675,19.526,27.763,35.564,67.441,211.1,146.061,158.741,175.2,151.469,132.016,179.931,139.559,119.131,75.921,96.448,30.328,37.066,34.128
"B Annualized Returns",-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",11.285,10.473,16.529,6.68,12.555,16.251,15.853,42.636,115.759,91.175,91.498,124.417,107.955,87.847,118.856,82.853,81.706,49.422,67.844,14.238,20.646,12.038
"P Volatility",44.39,44.43,41.56,43.89,42.6,46.89,47.76,47.41,33.45,25.96,27.48,28.27,28.87,27.45,27.08,22.92,17.86,16.75,25.47,18.6,19.42,18.6
"B Volatility",33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",10.83,10.04,7.39,9.9,8.52,10.89,11.16,11.21,16.93,9.04,11.12,12.63,13.48,11.79,11.45,7.28,4.43,2.65,11.63,7.31,5.89,3.33
"P Tracking Error",17.08,17.86,17.64,17.89,17.56,19.34,19.49,18.58,22.41,19.29,21.48,23.42,21.89,19.44,18.7,16.25,14.67,15.21,20.01,17.35,14.37,13.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.66,0.59,0.94,0.37,0.71,0.84,0.81,2.29,5.17,4.73,4.26,5.31,4.93,4.52,6.36,5.1,5.57,3.25,3.39,0.82,1.44,0.88
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.02,0.39,1.86,0.87,0.52,0.89,0.76,2.15,1.52,3.96,3.68,5.55,5.06,3.75,4.03,3.47,4.15,4.25,3.87,2.79,1.42,1.29
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.25,1.2,1.11,1.2,1.15,1.2,1.21,1.23,1.63,1.03,1.05,1.01,1.25,1.27,1.28,1.03,0.79,0.62,1.15,0.68,0.97,0.84
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",87.39,84.71,80.82,84.07,82.69,83.83,84.36,86.25,60.91,38.68,32.18,23.73,38.07,46.86,49.99,44.19,27.89,19.52,32.15,7.61,39.21,41.73
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.0636,-41.1519,-37.5787,-40.8721,-39.8454,-39.6152,-39.5559,-35.9209,-10.0712,-10.2869,-10.1923,-10.1035,-12.3436,-10.6915,-10.1727,-6.7034,-6.692,-9.8057,-9.5235,-14.4756,-14.706,-15.7437
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-0.758099999999999,-2.8464,0.726800000000004,-2.5666,-1.5399,-1.3097,-1.9491,-0.262600000000006,-2.7241,-2.9398,-3.2905,-3.2017,-5.4418,-3.7897,-3.8352,-0.3659,-0.3545,0.436500000000001,0.7187,-4.2334,-0.3726,-1.4104
