"","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.204,14.999,10.641,7.832,4.237,5.252,5.439,12.325,13.879,7.037,17.99,16.088,20.816,4.624,5.106,28.204,26.904,23.717,30.037,29.73,24.917,25.144
"B Annualized Returns",2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",1.234,10.992,8.51,3.765,-2.277,-2.37,-3.041,0.898999999999999,1.915,-2.778,5.351,2.854,8.408,-7.344,-12.26,7.413,9.167,7.287,13.902,15.557,10.048,10.559
"P Volatility",22.37,26.91,32.88,31.18,25.68,25.63,28.11,28.24,30.04,26.73,28.01,29.49,30.47,32.46,34.41,32.49,33.1,33.27,34.86,32.43,33.22,33.27
"B Volatility",21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",1.08,5.23,11.2,9.76,4.21,3.28,5.44,5.81,7.24,3.89,5.17,6.61,7.86,9.88,11.98,10.38,11.03,10.95,12.59,10.19,10.62,10.35
"P Tracking Error",19.24,20.21,21.38,20.62,21.16,21.18,18.86,16.92,18.74,13.99,18.34,19.81,19.77,17.14,20.98,18.34,19.33,20.01,20.95,19.5,21.42,20.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.06,0.54,0.4,0.18,-0.11,-0.11,-0.16,0.05,0.1,-0.2,0.29,0.14,0.43,-0.43,-0.58,0.4,0.47,0.36,0.66,0.8,0.47,0.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.45,0.92,0.46,0.56,0.2,0,-0.16,-0.04,0.32,-0.24,0.57,0.25,0.8,-0.55,-0.99,-0.03,0.39,0.65,0.85,1.05,1.01,0.78
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.64,0.84,1.16,1.1,0.73,0.71,0.92,1.01,1.03,1,0.93,0.96,1.03,1.24,1.24,1.24,1.24,1.21,1.28,1.18,1.13,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",35.65,43.69,57.63,55.38,35.31,36.29,54.04,63.04,59.94,71.77,56.17,53.63,56.65,74.24,64.21,69.83,67.55,64.74,66.13,64.27,57.99,60.83
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.0118,-27.4773,-35.697,-32.7145,-36.8539,-37.4838,-42.1017,-34.3899,-35.1959,-40.5567,-34.6064,-43.0138,-41.7126,-48.9239,-53.7433,-45.8918,-46.2857,-46.2499,-45.8384,-44.6123,-43.2919,-44.3386
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",14.2937,10.8282,2.6085,5.591,1.4516,0.8217,-3.7962,3.9156,3.1096,-2.2512,3.6991,-4.7083,-3.4071,-10.6184,-15.4378,-7.5863,-7.9802,-7.94439999999999,-7.5329,-6.3068,-4.9864,-6.0331
