"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.639,13.961,16.404,12.429,10.811,9.459,5.971,6.709,12.169,9.369,9.68,13.063,13.958,7.053,-2.915,-1.759,-2.779,3.822,7.257,8.217,6.245,13.437,12.243,13.352,17.378,35.245,30.856,55.852,81.492,84.504,54.433,50.594,65.13,52.523,53.212,44.995,44.297,51.175,101.246,107.801
"B Annualized Returns",12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",3.999,4.821,4.401,0.996,0.398999999999999,-0.208,1.104,4.176,5.187,4.406,4.351,7.348,10.684,2.646,10.579,5.73,4.876,6.683,7.741,9.956,7.956,6.535,2.509,1.665,2.144,18.154,17.772,45.033,68.121,68.409,35.098,27.624,40.895,26.902,32.262,25.563,25.113,33.617,52.198,69.604
"P Volatility",16.31,15.12,15.56,14.67,15.59,14.25,13.08,16.48,16.78,15.21,15,17.93,16.72,15.1,15.6,23.87,29.55,28.13,29.31,28.38,27.64,27.3,24.27,28.21,30.16,31.78,29.73,30.19,32.53,35.99,31.7,28.85,38.48,35.77,37.27,33.53,31.01,31.04,31.14,29.72
"B Volatility",13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",3.2,2.13,2.66,1.3,2.26,0.960000000000001,0.33,2.82,3.15,1.89,1.5,4.46,3.52,2.47,2.84,1.08,5.13,3.73,4.65,3.24,2.93,2.89,-0.0700000000000003,2.67,4.19,5.8,3.33,3.62,5.97,9.35,5.72,2.96,12.31,9.62,11.11,7.03,4.55,4.9,14.32,13.71
"P Tracking Error",9.21,7.85,7.32,7.36,8.91,8.42,7.71,8.16,9.03,8.16,8.44,9.93,7.87,8.82,8.38,7.1,10.1,9.7,11.39,11.16,9.48,9.22,8.04,7.57,8.06,8.51,7.86,17.08,20.15,21.09,14.34,14.65,23.22,21.7,22.42,18.35,16.14,19.22,24.39,23.51
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.43,0.61,0.6,0.14,0.04,-0.02,0.14,0.51,0.57,0.54,0.52,0.74,1.36,0.3,1.26,0.81,0.48,0.69,0.68,0.89,0.84,0.71,0.31,0.22,0.27,2.13,2.26,2.64,3.38,3.24,2.45,1.89,1.76,1.24,1.44,1.39,1.56,1.75,2.14,2.96
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.47,0.46,0.49,0.34,0.04,0.04,0.15,0.02,0.39,0.25,0.46,0.58,0.6,0.13,0.69,0.48,0.79,0.72,0.96,0.67,0.75,0.48,0.26,0.07,0.19,0.64,1.03,3.29,3.83,4.4,2.35,1.85,2.76,1.71,1.8,1.79,1.88,2.65,2.62,3.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,0.99,1.07,0.95,0.96,0.87,0.84,1.05,1.04,0.96,0.92,1.11,1.12,0.97,1.03,1,1.15,1.09,1.1,1.04,1.05,1.05,0.94,1.07,1.13,1.19,1.09,0.94,0.96,1.1,1.09,0.96,1.19,1.09,1.15,1.06,1,0.93,1.16,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.67,71.74,77.12,73.83,65.88,64.89,66.04,74.51,69.75,69.99,67.36,68.62,77.8,64.33,69.81,90.73,89.29,88.13,84.91,83.92,87.91,88.3,88.85,92.83,93.74,95.12,93.34,66.76,59.89,64.58,79.16,73.13,63.56,61.92,63.25,68.86,71.61,60.15,36.53,35.09
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.9351,-17.0035,-18.2092,-15.9458,-16.7949,-14.697,-14.6944,-15.3852,-14.5167,-17.659,-16.7789,-17.9359,-19.0083,-17.7428,-34.2489,-35.4581,-37.7714,-36.2831,-37.1129,-36.1007,-36.8767,-37.1702,-35.8723,-36.4184,-38.1349,-37.9078,-35.5235,-32.5152,-33.3709,-35.4439,-37.891,-34.2583,-37.9913,-35.1395,-37.0559,-36.1695,-35.8716,-30.3109,-18.2751,-16.751
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-2.9562,-3.0246,-4.2303,-1.9669,-2.816,-0.7181,-0.7155,-1.4063,-0.537800000000001,-3.6801,-2.8,-3.957,-5.0294,-3.7639,4.0566,2.8474,0.534100000000002,2.0224,1.1926,2.2048,1.4288,1.1353,2.4332,1.8871,0.1706,0.3977,2.782,5.7903,4.9346,2.8616,0.414500000000004,4.0472,0.3142,3.166,1.2496,2.136,1.7352,5.1416,-3.9417,-2.4176
