"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.87,20.715,2.03,4.995,3.393,8.66,6.631,10.428,6.135,9.117,12.562,9.211,17.072,25.843,27.757,32.135,31.171,28.105,21.986,24.763,34.029,37.157,41.188,62.352,79.308,75.879,74.648,54.829
"B Annualized Returns",12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",8.803,11.611,7.684,5.482,4.867,6.668,3.661,6.421,4.004,5.05,6.048,1.589,8.592,14.417,15.793,22.32,18.532,14.871,9.578,12.795,16.663,16.366,23.451,45.922,63.173,61.706,59.779,40.244
"P Volatility",16.99,18.46,19.89,24.19,26.2,26.24,27.62,27.29,25.7,26.99,27.72,25.85,28.29,30.21,30.22,30.22,26.73,27.87,26.65,29.18,26.69,26.6,30.55,34.64,36.18,37.92,39.05,33.76
"B Volatility",12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",4.66,6.23,7.48,4.24,5.19,5.24,6.33,5.61,4.02,5.57,6.25,3.5,5.62,7.78,7.42,7.38,3.89,4.99,4.04,6.6,4.26,4.49,8.48,12.32,13.91,15.68,16.45,10.84
"P Tracking Error",11.43,12.23,14.03,12.91,10.8,10.92,11.82,12.39,11.82,13.46,13.21,11.79,13.06,11.44,13.39,16.2,12.91,12.71,10.15,13.75,11.49,11.26,15.1,23.56,26.68,30.43,29.64,18.52
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
