"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-10.374,-12.632,-4.911,-6.203,-4.056,-12.543,-9.396,-29.279,-12.144,5.696,-6.008,-12.963,6.347,7.065,-50.444,-28.992,-45.874,-17.991,-20.908,-3.881,-13.372,3.185,3.952,10.979,19.299,63.193,256.935,232.406,237.547,187.178,144.806,121.671,158.909,202.911,160.014,91.859,51.116,-7.943,4.08,-1.228
"B Annualized Returns",-3.943,-0.118,11.754,6.82,9.439,8.097,1.152,-8.968,4.912,12.907,10.617,11.865,10.988,10.81,-33.434,-20.638,-21.569,-10.354,-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",-6.431,-12.514,-16.665,-13.023,-13.495,-20.64,-10.548,-20.311,-17.056,-7.211,-16.625,-24.828,-4.641,-3.745,-17.01,-8.354,-24.305,-7.637,-20.187,-6.764,-9.193,1.19,-3.019,-0.533000000000001,-0.411999999999999,38.388,161.594,177.52,170.304,136.395,101.292,77.502,97.834,146.205,122.589,65.36,22.512,-24.033,-12.34,-23.318
"P Volatility",18.99,18.72,18.64,17.99,18.22,18.91,18.71,18.31,16.85,17.25,21.7,24.67,24.09,25.61,30.39,38.13,53.06,51.54,57.43,58.72,57.23,58.14,57.99,60.7,54.26,50.18,37.68,36.5,42.37,35.09,33.47,33.99,34.87,33.01,27.71,27.2,26.77,15.41,18.97,20.18
"B Volatility",15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",3.53,4.18,4.47,3.29,3.49,4.38,5.9,4.3,4.61,5.43,10.05,12.95,12.5,14.03,19.31,8.77,20.59,19.07,23.87,24.33,23.06,24.15,23.91,24.7,17.66,13.98,21.16,19.58,26.01,19.45,18.08,18.33,19.24,17.37,14.28,13.1,12.93,4.12,5.44,4.91
"P Tracking Error",16.35,16.9,18.08,17.09,17.3,17.66,16.49,12.61,12.85,10.96,15.88,20.94,19.95,19,24.21,14.45,26.09,26.38,30.98,32.22,30.68,29.92,32.23,33.03,30.05,26.74,28.55,28.08,32.6,27.84,25.35,24.68,26.92,24.16,25.27,23.58,19.19,12.37,9.8,12.26
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
