"","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.675,1.973,10.386,-0.328,3.277,12.716,30.93,69.961,231.205,185.267,180.578,146.702,135.614,124.653,155.082,192.474,168.328,94.77,91.855,17.364,26.191,28.696
"B Annualized Returns",-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",-3.954,-0.91,14.565,-2.323,-3.694,1.204,11.219,45.156,135.864,130.381,113.335,95.919,92.1,80.484,94.007,135.768,130.903,68.271,63.251,1.274,9.771,6.606
"P Volatility",46.28,57.25,49.72,57.29,56.78,60.25,59.73,55.46,42.38,33.59,41.11,34.9,33.77,32.41,30.89,28.39,26.86,25.96,28.11,14.41,19.56,19.59
"B Volatility",33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",12.72,22.86,15.55,23.3,22.7,24.25,23.13,19.26,25.86,16.67,24.75,19.26,18.38,16.75,15.26,12.75,13.43,11.86,14.27,3.12,6.03,4.32
"P Tracking Error",26.57,32.6,28.9,33.34,34.94,35.97,35.37,32.01,32.56,28.01,32.71,29.88,27.53,24.71,25.88,23.2,25.81,23.75,23.79,14.69,15.3,17.37
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.15,-0.03,0.5,-0.07,-0.11,0.03,0.32,1.41,4.17,4.65,3.46,3.21,3.35,3.26,3.63,5.85,5.07,2.87,2.66,0.09,0.64,0.38
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.01,-0.44,1.8,0.82,-0.08,0.11,0.22,2.77,1.77,5.19,2.06,3.66,4.57,3.48,3.54,5.03,6.58,5.21,3.94,2.51,1.23,1.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.14,1.44,1.2,1.44,1.36,1.4,1.36,1.28,1.85,1.1,1.66,1.16,1.31,1.4,1.08,1.05,0.65,0.78,1.09,0.47,0.91,0.68
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",64.47,71.59,64.59,69.91,63.18,66.79,66.58,66.78,46.54,23.04,37.26,19.18,28.32,39.5,22.19,25.9,0.71,8.65,20.65,3.86,32.51,19.75
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.9408,-50.935,-41.9135,-50.1265,-48.8602,-48.6701,-46.4416,-37.7926,-14.076,-12.7625,-13.6304,-12.6088,-12.6421,-12.6263,-9.9634,-7.4625,-7.7578,-12.3908,-12.0177,-19.6513,-22.0168,-22.4255
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-1.6353,-12.6295,-3.608,-11.821,-10.5547,-10.3646,-8.8348,-2.1343,-6.7289,-5.4154,-6.7286,-5.707,-5.7403,-5.7245,-3.6259,-1.125,-1.4203,-2.1486,-1.7755,-9.4091,-7.6834,-8.0922
