"","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",50.464,52.26,62.86,65.593,62.655,60.648,63.625,62.931,66.774,71.422
"B Annualized Returns",12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",38.056,40.292,45.494,44.802,44.918,44.218,47.49,48.758,51.905,56.837
"P Volatility",38.24,40.88,41.12,39.15,37.18,35.38,35.7,35.1,34.92,35.44
"B Volatility",22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",15.63,18.3,18.69,17.04,15.11,13.06,13.43,12.86,12.32,12.52
"P Tracking Error",24.42,26.08,26.61,25.06,22.44,22.9,23.35,22.87,22.43,22.63
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.56,1.54,1.71,1.79,2,1.93,2.03,2.13,2.31,2.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.69,2.47,2.96,2.28,2.27,2.82,2.83,2.97,3.16,3.39
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.35,1.47,1.48,1.42,1.4,1.23,1.23,1.22,1.2,1.21
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",62.29,65.11,63.8,63.72,68.32,59.03,58.12,58.18,59.23,59.88
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.6662,-42.8583,-41.9656,-40.3316,-40.4453,-36.8003,-36.9797,-36.9167,-36.3009,-36.0889
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-3.3607,-4.5528,-3.6601,-2.0261,-2.1398,1.5052,1.3258,1.3888,2.0046,2.2166
