"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.014,6.641,16.317,5.26,18.809,19.126,24.271,23.553,3.446,0.421,-2.684,5.081,9.015,12.659,14.141,19.196,26.5,29.515,38.679,22.876,47.922,66.065,73.579,154.617,51.698,57.832,45.018,86.604,59.169,89.893,110.404,96.556,60.974,61.7
"B Annualized Returns",4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",8.147,4.108,9.335,0.297,13.48,13.411,20.997,19.146,16.94,7.91,4.971,7.942,9.499,14.398,15.852,12.294,16.766,17.828,23.445,5.785,34.838,55.246,60.208,138.522,32.363,34.862,20.783,60.983,38.219,70.461,91.22,78.998,11.926,23.503
"P Volatility",25.3,23.44,27.85,25.42,26.58,27.37,24.46,21.53,22.78,28.78,29.44,29.08,29.61,30.34,25.78,23.89,25.45,24.49,29.56,23.17,28.86,40.97,42.14,51.44,35.52,32.68,27.19,47.49,40.33,50.99,51.19,48.78,28.06,24.21
"B Volatility",12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",12.55,9.78,14.22,12.1,13.08,13.9,11.26,8.9,10.02,5.99,5.02,4.68,4.95,5.2,1.07,-0.52,1.11,-1.05,3.59,-2.81,2.46,14.4,15.58,24.8,9.54,6.79,1.02,21.34,14.17,24.49,24.73,22.64,11.24,8.2
"P Tracking Error",19.08,16.73,20.73,19.08,18.77,19.75,16.38,14.44,15.87,13.18,10.02,9.85,12.1,15.77,15.15,11.41,11.1,11.76,11.06,11.84,11.79,24.06,23.65,38.29,18.6,16.33,13.81,36.2,26.61,39.9,38.61,35.75,24.9,24.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
