"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.674,14.461,13.544,9.031,14.928,11.893,1.997,2.686,2.214,2.994,3.123,-2.278,3.45,14.796,-13.502,-5.218,-0.756,3.022,-2.405,-2.836,5.257,13.334,18.757,76.516,94.211,100.509,99.588,49.308,43.287,36.273,69.677,90.573,81.415,80.171,73.839,63.992,62.697,56.565,104.775,93.382
"B Annualized Returns",12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",4.034,5.321,1.541,-2.402,4.516,2.226,-2.87,0.153,-4.768,-1.969,-2.206,-7.993,0.176,10.389,-0.0080000000000009,2.271,6.899,5.883,-1.921,-1.097,6.968,6.432,9.023,64.829,78.977,83.418,86.504,38.489,29.916,20.178,50.342,67.603,57.18,54.55,52.889,44.56,43.513,39.007,55.727,55.185
"P Volatility",19.57,20.93,22.24,20.99,17.88,19.59,20.44,20.93,19.83,20.24,22.1,16.47,20.27,18.51,19.88,27.59,27.27,28.74,28.07,29.98,27.58,29.2,32.81,38.2,40.13,40.77,44.14,42.64,41.26,34.43,39.43,44.43,37.85,38.76,34.16,36.6,37.46,36.7,24.25,25.98
"B Volatility",13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.46,7.94,9.34,7.62,4.55,6.3,7.69,7.27,6.2,6.92,8.6,3,7.07,5.88,7.12,4.8,2.85,4.34,3.41,4.84,2.87,4.79,8.47,12.66,14.16,14.79,17.74,16.07,14.7,7.79,13.45,18.54,11.68,12.61,8,10.1,11,10.56,7.43,9.97
"P Tracking Error",14.2,14.78,17.49,15.51,11.28,11.95,13.49,14.8,13.82,15.3,16.14,13.17,16.02,10.44,13.3,12.82,11.76,11.25,8.89,10.79,9.8,11.07,13.15,23.18,29.23,32.41,32.14,23.36,23.36,18.24,27.3,29.41,23.74,22.21,18.19,21.57,20.74,19.05,16.05,19.02
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
