"","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.179,-15.365,-0.34,17.261,9.342,14.271,18.478,16.474,-24.249,-17.721,-18.737,-4.386,5.092,18.32,4.491,9.952,18.214,25.541,33.348,57.272,156.295,155.271,199.527,155.896,120.51,111.424,123.549,154.5,120.243,87.165,80.494,35.522,31.923,31.429
"B Annualized Returns",-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-3.933,-5.459,-5.088,5.556,-1.275,2.406,7.553,8.413,7.523,2.917,4.895,8.017,5.813,14.282,10.128,7.659,10.261,12.817,12.876,29.964,68.865,99.179,130.202,102.032,75.052,66.144,57.53,97.794,84.732,62.654,57.135,26.968,13.398,9.339
"P Volatility",16.28,16.87,13.18,15.17,18.07,17.89,18.04,18.57,21.45,35.37,41.1,41.57,42.46,42.61,44.95,42.05,41.46,46.91,48.14,46.77,27.37,29.28,29.77,23.96,20.35,28.99,21.92,27.86,21.72,26.5,27.46,22.78,20.74,20.14
"B Volatility",12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",3.47,2.86,0.94,3.35,6.42,6.17,6.45,6.99,10.37,6.01,8.63,9.1,8.9,8.22,10.78,8.06,7.38,10.91,11.54,10.57,10.85,12.36,13.41,8.32,4.96,13.33,6.29,12.22,8.29,12.4,13.62,11.49,7.21,4.87
"P Tracking Error",10.47,7.26,9.18,7.12,10.56,10.81,11.22,12.22,13.29,12.56,14.28,14.9,14,14.5,16.49,12.5,13.53,15.56,17,15.34,17,21.47,22.85,18.64,14.11,20.23,14.61,18.88,17.17,21.67,23.28,21.76,14.21,12.16
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.38,-0.75,-0.55,0.78,-0.12,0.22,0.67,0.69,0.57,0.23,0.34,0.54,0.42,0.98,0.61,0.61,0.76,0.82,0.76,1.95,4.05,4.62,5.7,5.47,5.32,3.27,3.94,5.18,4.93,2.89,2.45,1.24,0.94,0.77
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.16,-0.82,-0.06,-0.2,-0.03,0.09,0.1,0.44,0.39,0.61,1.21,1.14,1.44,0.6,1.45,0.68,0.63,0.93,0.68,1.2,1.55,3.65,4.49,5,4.27,2.44,3.02,2.81,3.47,3.92,3.48,2.79,0.51,0.54
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
