"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.724,10.599,13.362,41.292,49.83,49.348,56.383,49.041,43.004,58.997,54.661,34.071,24.444,18.778,27.706,26.506,28.182,35.652,11.497,20.602,26.539,23.042,14.126,19.16,4.046,7.829,15.511,8.957,-2.655,9.464,8.256,21.746,24.389,-5.158,16.393,5.442,7.476,12.25,28.83,29.444,28.416,18.229,21.239,19.984,25.253,18.919,16.319,22.347,12.486,17.491,10.19,16.147,18.992,5.06,5.085,0.407,-2.3,0.471
"B Annualized Returns",9.908,13.106,13.295,9.399,7.159,7.269,7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",1.816,-2.507,0.0670000000000002,31.893,42.671,42.079,48.792,41.182,35.203,52.447,48.8,32.128,23.418,21.92,26.609,24.588,25.313,32.162,8.984,14.988,22.04,17.789,11.425,17.114,0.879,5.122,10.498,5.323,2.864,11.065,8.635,22.877,24.444,-6.554,15.375,3.112,0.582,2.151,22.147,23.343,20.971,10.8,10.234,9.134,12.437,6.158,5.413,9.151,0.833,4.781,-0.589,1.499,-8.021,-14.73,-11.719,-10.391,-12.058,-7.202
"P Volatility",9.75,9.33,11.95,21.47,27.31,26.38,27.05,27.92,24.31,21.84,28.09,24.01,17.68,21.59,21.59,26.18,26.69,28.16,11.01,11.87,14.59,10.98,14.41,27.19,25.7,23.56,21.35,23.62,23.03,35.22,34.21,26.65,29.56,25.27,28.26,21.22,21,14.73,21.66,28.78,28.16,28.24,25.87,24.42,27.4,28.01,22.49,26.39,26.14,30.26,26.69,18.32,22.17,16.32,17.54,16.85,17.79,20.44
"B Volatility",6.65,5.43,5.77,5.82,5.88,6.09,6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",3.1,3.9,6.18,15.65,21.43,20.29,20.96,22.03,18.31,15.84,21.93,15.97,9.66,12.19,12.19,14.54,15.04,16.36,-0.98,-0.110000000000001,2.61,-0.84,2.69,15.47,13.67,11.6,9.6,11.42,5.15,16.31,15.12,7.63,10.54,5.86,9.53,2.34,1.76,-3.96,3.44,10.43,9.48,10.05,7.62,5.75,9.14,9.76,4.15,7.81,7.47,11.59,8.38,6.87,10.72,5.44,6.42,4.43,5.37,8.18
"P Tracking Error",8.93,8.99,11.72,20.26,26.78,26.16,26.92,27.12,24.48,21.93,28.8,22.67,15.54,18.23,18.61,19.64,20.11,21.42,9.1,8.98,8.67,9.15,10.92,20.22,18.47,16.17,13.75,15.98,10.66,20.79,19.96,13.31,15.1,8.67,14.92,7.99,6.91,12.78,14.14,25.63,25.44,16.19,16.57,12.04,20.61,21.32,18.76,21.34,19.72,20.82,12.86,9.41,16.62,12.63,14.43,13.88,14.8,14.03
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.2,-0.28,0.01,1.57,1.59,1.61,1.81,1.52,1.44,2.39,1.69,1.42,1.51,1.2,1.43,1.25,1.26,1.5,0.99,1.67,2.54,1.94,1.05,0.85,0.05,0.32,0.76,0.33,0.27,0.53,0.43,1.72,1.62,-0.76,1.03,0.39,0.08,0.17,1.57,0.91,0.82,0.67,0.62,0.76,0.6,0.29,0.29,0.43,0.04,0.23,-0.05,0.16,-0.48,-1.17,-0.81,-0.75,-0.81,-0.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.48,0.21,0.4,2.08,2.97,3.44,3.29,2.91,3.29,2.93,3.86,2.5,2.26,1.86,1.56,2,2.05,2.15,0.98,1.34,1.74,1.66,0.93,1.19,-0.27,0.47,0.18,0.37,0.39,0.94,1.35,2.08,2.18,-0.52,1.32,0.24,0.06,0.49,1.58,2.02,2.13,0.55,0.84,0.49,0.98,1.13,0.9,0.85,0.24,0.43,-0.23,-0.41,-1.22,-0.65,-0.95,-1.03,-0.64,-0.85
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
