"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.673,9.069,15.525,9.653,11.465,13.791,16.108,25.267,19.265,16.797,17.03,16.544,18.22,13.958,17.394,22.359,18.283,20.232,18.647,16.545,17.04,25.25,60.782,38.176,33.368,19.936,14.756,18.308
"B Annualized Returns",-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",9.584,10.2,15.58,7.481,10.447,12.018,9.214,15.168,12.648,10.696,9.585,8.887,6.637,3.108,6.022,9.598,7.756,7.231,6.994,3.835,5.062,10.602,33.769,19.048,16.564,8.164,5.174,10.635
"P Volatility",25.74,25.48,27.35,24.17,23.22,25.52,26.5,26.99,26.05,24.87,26.41,26.15,27.92,25.58,25.91,27.87,26.9,26.57,27.89,26.78,26.25,18.58,20.27,15.72,15.73,13.74,17.29,16.58
"B Volatility",19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",6.65,6.46,8.33,4.76,4.49,6.64,7.26,8.3,7.83,6.52,7.73,7.96,9.67,6.91,7.63,9.62,8.3,7.99,9.22,8.11,7.94,7.13,8.82,4.84,4.61,2.62,4.87,4.32
"P Tracking Error",11.42,10.38,13.86,9.04,9.05,10.57,10.98,14.96,13.74,11.14,13.07,15.1,14.53,12.82,13.13,12.36,10.51,10.8,11.85,10.48,10.57,10.19,12.41,8.62,8.66,7.39,8.98,8.73
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.84,0.98,1.12,0.83,1.15,1.14,0.84,1.01,0.92,0.96,0.73,0.59,0.46,0.24,0.46,0.78,0.74,0.67,0.59,0.37,0.48,1.04,2.72,2.21,1.91,1.1,0.58,1.22
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
