"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.205,8.809,11.44,4.453,0.615,2.245,3.469,5.465,9.74,7.162,0.883,-4.466,-2.454,-7.215,3.275,9.904,13.368,8.691,2.781,6.089,2.549,3.541,6.754,9.586,9.019,22.636,11.962,1.045,-19.145,-10.157,-3.564,0.01,0.641,-4.299,-0.582,0.995,1.268,-2.101,0.661,8.864,47.042,38.266,27.918,35.34,30.96,31.751,29.325,41.065,20.232,24.427,24.114,24.659,17.885,12.813,4.824,0.341,0.98,1.23
"B Annualized Returns",7.177,6.376,3.305,-0.535,-2.091,0.623,4.862,8.158,8.504,9.509,2.736,-4.796,-3.194,-10.927,-1.605,4.275,7.938,6.856,1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",5.028,2.433,8.135,4.988,2.706,1.622,-1.393,-2.693,1.236,-2.347,-1.853,0.33,0.74,3.712,4.88,5.629,5.43,1.835,1.037,2.976,2.327,2.928,4.087,-0.609,-0.911999999999999,4.208,-0.734999999999999,-1.755,-1.562,-0.176,-0.658,5.209,0.786,-6.654,0.018,7.418,-1.356,-4.515,-1.583,1.02,10.786,10.169,-0.317,5.013,6.262,7.527,4.919,4.68,-1.363,0.353999999999999,1.476,6.574,-0.511999999999997,2.004,-1.567,4.483,4.705,7.752
"P Volatility",5.17,5.57,5.38,6.81,6.05,6.52,6.54,6.52,6.83,7.15,6.39,6.7,7.41,9.96,9.9,12.1,11.38,11.23,10.65,11.02,11.32,12.26,10.67,11.04,8.7,5.8,4.61,7.93,20.86,21.51,24.27,24.1,24.17,24.07,28.88,23.98,26.72,27.11,23.9,13.48,15.84,13.93,14.17,12.9,13.85,13.43,13.56,10.37,10.84,11.12,11.67,8.99,8.48,9.55,10.56,9.86,12.99,14.28
"B Volatility",5.31,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",-0.14,0.63,-0.04,0.319999999999999,-0.7,-0.79,-0.77,-1.12,-0.93,-0.609999999999999,-0.67,-3.58,-3.16,-2.49,-2.55,-3.64,-4.2,-4.36,-4.94,-4.83,-4.51,-3.57,-2.74,-2.37,-2,-1.12,-2.31,-0.93,0.439999999999998,0.0500000000000007,0.949999999999999,0.780000000000001,0.850000000000001,0.0599999999999987,4.76,0.0300000000000011,0.559999999999999,0.949999999999999,-1.61,-0.619999999999999,1.74,1.74,2.08,0.81,2.28,2.81,2.94,3.15,2.47,2.75,2.99,0.300000000000001,-0.209999999999999,-0.369999999999999,0.530000000000001,-0.17,-0.00999999999999979,1.45
"P Tracking Error",4.21,4.09,4.54,3.63,3.22,3.45,3.66,3.8,3.4,4.09,4.49,4.97,5.52,4.51,4.61,5.3,5.66,5.59,6.83,6.99,5.93,4.83,4.09,4.52,3.12,4.62,4.32,3.23,3.29,3.77,6.11,9.12,7.26,2.89,7.47,4.68,6.11,3.15,4.7,3.76,4.23,5.95,7.28,6.11,6.78,6.92,6.9,7.71,8.08,8.43,8.75,6.63,6.19,6.72,5.63,5.43,5.51,5.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.19,0.59,1.79,1.37,0.84,0.47,-0.38,-0.71,0.36,-0.57,-0.41,0.07,0.13,0.82,1.06,1.06,0.96,0.33,0.15,0.43,0.39,0.61,1,-0.13,-0.29,0.91,-0.17,-0.54,-0.47,-0.05,-0.11,0.57,0.11,-2.3,0,1.59,-0.22,-1.43,-0.34,0.27,2.55,1.71,-0.04,0.82,0.92,1.09,0.71,0.61,-0.17,0.04,0.17,0.99,-0.08,0.3,-0.28,0.83,0.85,1.41
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.58,0.47,0.57,0.37,0.11,-0.04,-0.03,0.03,0.12,0.05,-0.21,-0.11,0,0.33,0.38,0.47,0.54,0.27,0.14,0.37,0.49,0.34,0.12,0.16,0.1,0.61,0.49,-0.25,-0.21,-0.3,0.03,0.44,0.02,-0.33,0.17,0.57,-0.02,-0.27,0.07,0.06,0.08,0.6,0.42,0.82,0.44,0.18,0.2,0.24,0.1,0.13,0.61,0.2,0.18,0.18,0.19,0.53,0.4,0.62
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.66,0.79,0.64,0.89,0.79,0.79,0.77,0.74,0.79,0.79,0.71,0.6,0.61,0.75,0.75,0.74,0.7,0.7,0.64,0.64,0.69,0.75,0.77,0.78,0.79,0.63,0.53,0.83,1.01,0.99,1.01,0.96,0.99,1,1.17,0.98,0.99,1.03,0.92,0.92,1.09,1.03,1.01,0.94,1.04,1.09,1.1,0.96,0.87,0.88,0.9,0.74,0.72,0.73,0.9,0.84,0.91,1.03
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
