"","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",32.387,37.269,31.886,27.272,17.703,14.139,17.911,15.722,20.889,10.413,-0.891,12.076,11.639,17.487,21.083,17.648,22.829,28.459,30.738,36.186,32.033,25.643,25.183,21.282,20.069,20.12,25.39,23.669,21.901,22.996,20.805,22.627,8.677,7.58,20.382,0.327,1.13,-2.41,-5.213,-6.721
"B Annualized Returns",2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",29.874,31.655,27.387,22.019,15.002,12.093,14.744,13.015,15.876,6.779,4.628,13.677,12.018,18.618,21.138,16.252,21.811,26.129,23.844,26.087,25.35,19.542,17.738,13.853,9.064,9.27,12.574,10.908,10.995,9.8,9.152,9.917,-2.102,-7.068,-6.631,-19.463,-15.674,-13.208,-14.971,-14.394
"P Volatility",30.98,29.48,26.48,29.87,26.63,24.01,21,17.75,19.37,21.92,27,31.96,32.35,32.89,33.53,32.7,29.49,26.19,29.13,28.7,27.26,26.69,29.6,28.84,25.63,27.09,25.05,23.94,26.43,24.52,25.7,26.27,24.96,22.92,18.57,17.29,17.71,14.89,15.18,15.79
"B Volatility",11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",18.99,17.5,14.5,18.05,14.91,12.29,8.97,5.79,7.62,9.72,9.12,13.05,13.26,13.87,14.51,13.29,10.76,7.31,9.89,10.01,9.04,8.34,10.92,10.65,7.38,8.42,6.79,5.69,8.09,5.94,7.03,7.6,6.65,11.47,7.12,6.41,6.59,2.47,2.76,3.53
"P Tracking Error",24.86,23.42,21.29,23.85,20.96,19.09,16.45,15.6,13.46,13.98,13.83,17.74,17.7,17.84,18.36,17.62,14.5,13.32,14.08,14.32,13.35,12.86,14.5,14.43,12.43,13.04,13.06,10.44,13.04,11.04,13.78,13.19,12.15,16.23,13.06,14,14.18,12.72,13.47,13.66
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
