"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",29.663,44.685,10.733,34.404,19.552,31.982,43.106,53.567,36.447,55.469,46.477,20.933,16.96,-7.74,10.432,10.718,16.106,24.84,11.932,20.69,22.539,21.402,15.333,22.951,26.425,29.919,23.683,17.481,-8.917,5.215,12.73,8.708,27.583,24.589,26.568,15.957,26.191,28.064,12.358,8.254,27.14,3.232,14.571,12.213,7.667,9.286,-2.706,-2.614,8.471,7.578,2.107,-0.61,5.303,-1.014,-3.626,-14.127,-11.223,-10.756
"B Annualized Returns",7.177,6.376,3.305,-0.535,-2.091,0.623,4.862,8.158,8.504,9.509,2.736,-4.796,-3.194,-10.927,-1.605,4.275,7.938,6.856,1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",22.486,38.309,7.428,34.939,21.643,31.359,38.244,45.409,27.943,45.96,43.741,25.729,20.154,3.187,12.037,6.443,8.168,17.984,10.188,17.577,22.317,20.789,12.666,12.756,16.494,11.491,10.986,14.681,8.666,15.196,15.636,13.907,27.728,22.234,27.168,22.38,23.567,25.65,10.114,0.409999999999999,-9.116,-24.865,-13.664,-18.114,-17.031,-14.938,-27.112,-38.999,-13.124,-16.495,-20.531,-18.695,-13.094,-11.823,-10.017,-9.985,-7.498,-4.234
"P Volatility",11.45,13.85,18.95,14.61,15.55,17.94,19.65,18.66,18.81,17.67,20.85,22.69,20.95,19.81,18.89,27.97,27.12,27.09,27.4,27.21,26.12,23.63,22.19,23.02,18.62,10.36,11.04,13.34,24.99,26.6,33.27,34.64,33.51,36.89,23.28,36,26.82,33.87,31.73,34.52,25.62,14.6,15.99,16.22,10.04,11.67,11.9,15.32,15.99,15.68,15.92,13.02,15.89,18.59,18.17,17.61,21.11,19.07
"B Volatility",5.31,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",6.14,8.91,13.53,8.12,8.8,10.63,12.34,11.02,11.05,9.91,13.79,12.41,10.38,7.36,6.44,12.23,11.54,11.5,11.81,11.36,10.29,7.8,8.78,9.61,7.92,3.44,4.12,4.48,4.57,5.14,9.95,11.32,10.19,12.88,-0.84,12.05,0.66,7.71,6.22,20.42,11.52,2.41,3.9,4.13,-1.53,1.05,1.28,8.1,7.62,7.31,7.24,4.33,7.2,8.67,8.14,7.58,8.11,6.24
"P Tracking Error",12.52,13.92,17.74,15.12,15.35,19.04,20.4,18.96,19.93,18.6,21.66,19.62,18.39,14.73,13.82,16.64,15.26,15.36,15.34,13.94,11.5,9.13,12.19,12.6,12.09,9.76,10.15,10.81,11.9,10.7,14.73,15.97,16.34,20.72,9.92,15.73,12.3,23.09,19.22,28.55,20.96,14.85,16.15,14.7,13.52,13.82,14.02,12.54,10.75,10.53,10.48,6.62,9.85,10.99,9.8,9.34,9.58,9.06
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
