"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.107,26.838,5.57,14.074,10.99,19.604,26.216,35.073,22.104,31.52,27.18,13.768,9.786,-7.007,8.402,11.22,16.915,19.25,15.705,15.448,19.269,27.428,24.908,26.03,27.506,25.631,22.588,15.589,-9.015,11.365,9.71,-6.816,5.79,9.7,7.086,-2.014,15.704,16.047,11.026,24.122,76.449,36.463,47.828,38.729,29.847,34.815,39.72,38.55,23.334,25.158,22.895,20.759,20.661,16.16,12.557,-5.025,-2.702,-8.554
"B Annualized Returns",7.177,6.376,3.305,-0.535,-2.091,0.623,4.862,8.158,8.504,9.509,2.736,-4.796,-3.194,-10.927,-1.605,4.275,7.938,6.856,1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",7.93,20.462,2.265,14.609,13.081,18.981,21.354,26.915,13.6,22.011,24.444,18.564,12.98,3.92,10.007,6.945,8.977,12.394,13.961,12.335,19.047,26.815,22.241,15.835,17.575,7.203,9.891,12.789,8.568,21.346,12.616,-1.617,5.935,7.345,7.686,4.409,13.08,13.633,8.782,16.278,40.193,8.366,19.593,8.402,5.149,10.591,15.314,2.165,1.739,1.085,0.256999999999998,2.674,2.264,5.351,6.166,-0.883,1.023,-2.032
"P Volatility",6.37,8.31,10.7,8.67,9.47,9.9,10.54,10.74,11.27,10.98,12.15,14.27,12.84,11.26,11.56,17.23,17.92,17.26,16.9,16.77,15.17,11.91,13.27,14.04,12.79,6.86,7.79,11.47,21.79,22.82,34.07,34.88,34.49,37.19,29.36,37.18,37.11,36.07,39.92,26.94,26.71,14.9,16.2,16.75,16.96,16.01,17.15,11.04,12.52,11.67,11.57,9.51,10.1,12.49,11.46,11.76,17.51,15.2
"B Volatility",5.31,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",1.06,3.37,5.28,2.18,2.72,2.59,3.23,3.1,3.51,3.22,5.09,3.99,2.27,-1.19,-0.889999999999999,1.49,2.34,1.67,1.31,0.92,-0.66,-3.92,-0.140000000000001,0.629999999999999,2.09,-0.0599999999999996,0.87,2.61,1.37,1.36,10.75,11.56,11.17,13.18,5.24,13.23,10.95,9.91,14.41,12.84,12.61,2.71,4.11,4.66,5.39,5.39,6.53,3.82,4.15,3.3,2.89,0.82,1.41,2.57,1.43,1.73,4.51,2.37
"P Tracking Error",7.24,8.62,8.9,7.62,8.08,8.77,9.49,8.99,11.26,10.58,11.82,11.12,10.11,9.76,10.16,10.08,9.35,8.91,7.08,4.46,3.7,7.02,11.3,10.12,10.62,6.84,7.55,9.93,8.62,8.58,15.31,13.34,14.04,17.83,9.39,15.81,14.18,16.38,18.93,17.18,15.53,5.29,7.17,7.15,7.94,8.49,9.72,9.62,8.67,7.97,9.02,6.49,6.43,6.21,6.46,4.81,7.62,6.33
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
