"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",25.85,27.572,10.541,22.459,10.878,24.756,26.539,34.383,34.864,27.42,21.49,22.638,28.991,27.718,27.334,23.553,27.293,26.224,21.749,27.769,27.461,28.106,24.617,30.06,29.138,31.353,16.359,11.162,13.213,9.062,2.945,1.905,6.087,-1.724
"B Annualized Returns",4.486,3.913,4.653,2.211,-4.458,-0.951,0.677,1.868,3.158,4.276,1.557,-0.442,2.986,2.577,4.083,5.489,7.515,7.407,7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",21.364,23.659,5.888,20.248,15.336,25.707,25.862,32.515,31.706,23.144,19.933,23.08,26.005,25.141,23.251,18.064,19.778,18.817,13.758,19.813,19.695,19.05,16.604,17.875,18.062,16.771,4.644,0.744000000000002,2.235,0.366,-6.88,-3.695,-0.322,-7.463
"P Volatility",21.17,22.39,22.59,21.76,25.16,26.95,34.94,34.87,33.59,33.94,34.65,29.47,31.64,31.11,29.43,28.19,28.79,28.88,28.9,29.04,28.67,27.01,26.82,27.24,25.67,23.43,26.47,26.35,26.3,26.3,24.89,24.96,24.47,25.55
"B Volatility",10.05,10.07,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",11.12,12.32,12.52,11.22,10.21,11.78,18.99,18.93,17.65,17.79,18.5,13.19,14.46,13.71,12.41,11.14,11.53,11.83,11.81,11.71,11.56,9.96,10.19,10.5,9.49,7.71,10.91,10.77,10.55,10.66,9.17,9.01,8,9.08
"P Tracking Error",17.66,18.9,18.97,18.04,18.83,21.31,27.15,26.93,25.45,24.41,23.53,18.6,19.55,18.73,16.83,15.88,16.17,16.37,16.4,16.07,15.82,14.39,14.03,14.68,14,13.13,16.57,16.7,17.08,15.92,14.73,14.28,14.87,17.12
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
