"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.553,6.479,6.155,13.466,13.269,15.759,16.16,20.327,15.654,7.194,-14.726,-7.744,-0.584,-7.228,-4.704,0.721,1.339,-1.373,3.717,5.349,-0.555,4.496,39.556,28.406,25.656,34.4,32.584,34.286,31.106,36.865,19.9,22.633,22.288,19.674,12.143,6.093,3.535,-3.695,-1.85,-7.483
"B Annualized Returns",1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",0.809,3.366,5.933,12.853,10.602,5.564,6.229,1.899,2.957,4.394,2.857,2.237,2.322,-2.029,-4.559,-1.634,1.939,5.05,1.093,2.935,-2.799,-3.348,3.3,0.308999999999997,-2.579,4.073,7.886,10.062,6.7,0.480000000000004,-1.695,-1.44,-0.350000000000001,1.589,-6.254,-4.716,-2.856,0.447000000000001,1.875,-0.960999999999999
"P Volatility",10.76,11.08,11.45,9.62,9.37,8.99,6.68,6.27,5.47,9.3,19.98,20.84,22.59,24.37,23.9,24.49,24.45,25.46,25.36,25.28,25.12,15.32,16.27,13.79,14.08,12.88,13.72,13.29,13.55,10.25,10.67,9.79,11.09,8.69,9.13,9.68,11.07,10.92,13.29,13.28
"B Volatility",15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",-4.83,-4.77,-4.38,-6.21,-4.04,-4.42,-4.02,-0.65,-1.45,0.440000000000001,-0.440000000000001,-0.620000000000001,-0.73,1.05,0.579999999999998,0.479999999999997,0.329999999999998,1.51,-0.800000000000001,-0.879999999999999,-0.390000000000001,1.22,2.17,1.6,1.99,0.790000000000001,2.15,2.67,2.93,3.03,2.3,1.42,2.41,0,0.440000000000001,-0.24,1.04,0.890000000000001,0.289999999999999,0.449999999999999
"P Tracking Error",6.67,6.97,5.58,7.8,7.11,7.56,6.75,3.42,4,5.74,4.89,2.8,4.85,3.68,3.49,5.57,5.57,5.99,7.42,6.51,6.89,6.83,5.3,7.28,7.84,6.02,6.43,6.58,7.07,7.83,7.03,6.84,7.61,5.73,6.35,6.11,6,5.22,5.22,6.37
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
