"","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"1",NA,NA,NA,NA
"P Annualized Returns",20.817,15.877,17.788,12.589
"B Annualized Returns",16.757,11.772,10.325,7.673
"AR DIFF(P-B)",4.06,4.105,7.463,4.916
"P Volatility",12.5,12.59,15.1,15.07
"B Volatility",11.12,11.12,12.42,12.26
"V DIFF(P-B)",1.38,1.47,2.68,2.81
"P Tracking Error",6.86,7.07,6.58,6.57
"B Tracking Error",NA,NA,NA,NA
"IR",NA,NA,NA,NA
"P Information Ratio",0.59,0.58,1.13,0.75
"B Information Ratio",NA,NA,NA,NA
"AS",NA,NA,NA,NA
"P Alpha Stat",0.46,0.38,0.51,0.19
"B Alpha Stat",NA,NA,NA,NA
"BS",NA,NA,NA,NA
"P Beta Stat",0.94,0.94,1.1,1.11
"B Beta Stat",NA,NA,NA,NA
"RS",NA,NA,NA,NA
"P R-Squared",68.7,67.3,80.78,80.99
"B R-Squared",NA,NA,NA,NA
"MD",NA,NA,NA,NA
"P Max Drawdown",-9.8306,-11.6343,-14.8373,-14.6484
"B Max Drawdown",-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.4375,3.1604,1.9466,2.1355
