"","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",44.313,41.321,24.273,30.81,45.609,50.917,33.021,34.39,30.12,25.196,20.763,18.632,16.173,-0.954,4.78,1.475
"B Annualized Returns",30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",14.23,10.994,-0.425000000000001,6.787,21.203,13.932,11.426,10.317,6.187,7.111,2.366,8.884,11.377,3.188,7.947,7.997
"P Volatility",17.01,16.76,17.47,15.03,16.78,11.83,13.05,11.87,11.27,9.12,9.36,10.8,11.58,10.77,17.85,18.21
"B Volatility",12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",4.92,4.67,5.9,4.41,6.16,4.61,4.68,3.5,2.59,0.43,0.67,0.880000000000001,1.55,0.74,4.88,5.38
"P Tracking Error",7.53,7.95,8.39,8.43,10.33,10.62,9.72,8.04,7.81,6.33,5.75,5.64,7.24,6.54,8.98,8.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.89,1.38,-0.05,0.81,2.05,1.31,1.18,1.28,0.79,1.12,0.41,1.58,1.57,0.49,0.88,0.92
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.36,0.51,-0.41,0.3,0.54,1.34,0.75,0.61,0.66,0.35,0.2,0.32,0.94,0.59,0.7,0.63
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.3,1.24,1.38,1.19,1.28,0.76,1.04,1.04,0.94,0.79,0.86,0.93,0.91,0.86,1.21,1.28
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",83.17,78.44,81.29,66.92,61.29,12.88,38.44,49.13,46.9,51.15,59.94,70.12,57.3,60.84,74.39,78.95
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.7921,-9.764,-11.2997,-8.7053,-9.231,-8.9506,-7.8659,-6.1663,-6.9015,-6.7358,-7.1778,-6.7288,-10.0616,-12.7363,-17.2127,-17.2869
"B Max Drawdown",-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-2.0243,-1.9963,-3.5319,-1.5937,-3.1399,-5.1268,-2.6877,-0.988099999999999,-1.7233,-1.5576,-1.9996,-0.433,0.2065,2.0584,-0.428800000000003,-0.503
