"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.649,7.97,13.431,10.062,11.156,12.908,15.036,22.317,16.763,14.878,15.268,15.125,17.093,13.445,16.149,19.924,16.588,18.467,16.622,15.466,15.319,22.361,54.372,34.353,29.792,18.799,14.569,16.868
"B Annualized Returns",-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",8.56,9.101,13.486,7.89,10.138,11.135,8.142,12.218,10.146,8.777,7.823,7.468,5.51,2.595,4.777,7.163,6.061,5.466,4.969,2.756,3.341,7.713,27.359,15.225,12.988,7.027,4.987,9.195
"P Volatility",24.05,23.82,25.08,22.99,22.29,24.15,24.73,24.97,24.15,23.28,24.51,24.13,25.53,24.05,24.22,25.65,25.16,24.79,25.64,24.81,24.36,16.86,18.58,14.51,14.57,13.15,16.4,15.84
"B Volatility",19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",4.96,4.8,6.06,3.58,3.56,5.27,5.49,6.28,5.93,4.93,5.83,5.94,7.28,5.38,5.94,7.4,6.56,6.21,6.97,6.14,6.05,5.41,7.13,3.63,3.45,2.03,3.98,3.58
"P Tracking Error",9.79,8.83,11.39,8.11,8.2,9.21,9.33,12.18,11.37,9.38,10.77,12.38,11.84,10.66,10.9,9.98,8.85,8.85,9.44,8.53,8.57,8.27,10.52,7.2,7.3,6.5,7.73,7.52
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.87,1.03,1.18,0.97,1.24,1.21,0.87,1,0.89,0.94,0.73,0.6,0.47,0.24,0.44,0.72,0.68,0.62,0.53,0.32,0.39,0.93,2.6,2.11,1.78,1.08,0.65,1.22
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
