"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.623,15.182,10.001,11.315,3.74,10.169,12.221,15.85,17.634,14.361,11.639,13.634,15.225,15.839,17.572,15.592,17.477,16.76,15.447,16.628,17.971,20.795,16.832,20.938,19.6,20.98,13.462,12.259,13.558,11.397,10.423,5.103,8.393,6.814
"B Annualized Returns",4.486,3.913,4.653,2.211,-4.458,-0.951,0.677,1.868,3.158,4.276,1.557,-0.442,2.986,2.577,4.083,5.489,7.515,7.407,7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",9.137,11.269,5.348,9.104,8.198,11.12,11.544,13.982,14.476,10.085,10.082,14.076,12.239,13.262,13.489,10.103,9.962,9.353,7.456,8.672,10.205,11.739,8.819,8.753,8.524,6.398,1.747,1.841,2.58,2.701,0.598000000000001,-0.497,1.984,1.075
"P Volatility",14.04,14.76,13.94,13.91,18.54,19.76,25.05,25.65,22.39,22.65,22.42,21.66,21.79,22.29,20.94,21.41,21.42,21.02,18.64,20.04,19.74,19.91,19.94,20.95,21.16,18.54,19.35,19.51,20.05,20.56,21.23,21.72,22.35,23.41
"B Volatility",10.05,10.07,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",3.99,4.69,3.87,3.37,3.59,4.59,9.1,9.71,6.45,6.5,6.27,5.38,4.61,4.89,3.92,4.36,4.16,3.97,1.55,2.71,2.63,2.86,3.31,4.21,4.98,2.82,3.79,3.93,4.3,4.92,5.51,5.77,5.88,6.94
"P Tracking Error",9.21,10.19,9.04,8.85,9.23,10.33,14.44,14.82,12.25,11.39,10.35,10.58,9.96,11.99,11,11.1,10.07,10.03,7.2,7.34,8.43,11.64,11.39,10.84,11.32,7.05,8.83,10.19,9.74,10.16,9.13,7.98,8.21,9.91
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
