"","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",72.436,73.779,45.985,57.793,85.507,94.873,58.849,57.01,57.197,39.68,32.424,45.531,37.065,20.006,26.521,24.967
"B Annualized Returns",30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",42.353,43.452,21.287,33.77,61.101,57.888,37.254,32.937,33.264,21.595,14.027,35.783,32.269,24.148,29.688,31.489
"P Volatility",33.8,34.01,32.2,27.62,28.14,20.58,21.67,18.31,14.45,11.24,11.36,14.21,13.98,12.31,21.99,22.18
"B Volatility",12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",21.71,21.92,20.63,17,17.52,13.36,13.3,9.94,5.77,2.55,2.67,4.29,3.95,2.28,9.02,9.35
"P Tracking Error",26.4,26.84,22.43,19.99,20.38,20.19,20,16.5,14.89,12.7,12.49,15.63,15.37,14.1,17.14,16.9
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.6,1.62,0.95,1.69,3,2.87,1.86,2,2.23,1.7,1.12,2.29,2.1,1.71,1.73,1.86
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.96,1.14,-0.37,0.6,0.39,3.22,2.42,2.22,2.71,1.78,1.76,2.38,2.94,2.68,2.69,2.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",2.03,1.99,2.49,2.11,2.17,0.66,1,0.95,0.41,0.27,0.32,0.29,0.3,0.26,1.06,1.13
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",47.17,44.61,78.11,62.06,63.32,-5.25,5.39,9.8,-4.22,-6.28,-4.34,-6.71,-6.03,-5.96,32.65,36.11
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.1144,-14.2054,-17.8218,-12.8647,-11.5043,-12.8038,-10.1298,-8.1753,-8.1018,-7.0217,-7.3364,-8.9622,-8.911,-14.2609,-20.4197,-19.7939
"B Max Drawdown",-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-6.3466,-6.4377,-10.054,-5.7531,-5.4132,-8.98,-4.9516,-2.9971,-2.9236,-1.8435,-2.1582,-2.6664,1.3571,0.533800000000001,-3.6358,-3.01
