"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.953,16.119,6.977,8.9,15.025,13.601,8.746,7.303,10.765,7.099,-0.497,-0.944,4.09,1.335,1.119,4.036,2.02,2.68,5.967,3.955,5.88,6.146,7.638,8.962,9.869,9.742,8.801,9.741,8.885,11.178,9.059,14.275,10.078,10.451,10.858,10.53,8.303,5.629,5.899,5.395
"B Annualized Returns",5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",8.831,9.927,1.824,4.311,10.491,9.264,4.39,3.39,6.295,4.888,3.961,-0.35,2.906,-0.533,-2.039,0.290999999999999,0.463,2.608,2.981,1.378,0.505,0.657,0.123,1.538,1.928,1.786,1.03,0.685,0.718,-1.008,-2.017,-0.307,-1.153,0.0330000000000013,-0.119999999999999,1.589,-1.522,0.441,-1.226,-0.344
"P Volatility",9.44,9.59,8.49,8.32,9.94,9.96,8.74,8.7,9.26,8.91,13.57,14.82,14.56,14.31,16.42,16.13,15.23,15.38,17.42,17.16,15.73,16.83,16.78,18.21,17.84,17.53,16.86,17.85,17.36,17.13,15.44,17.63,15.54,17.21,16.63,15.51,16.49,16.75,16.26,17.78
"B Volatility",10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",-0.640000000000001,-0.31,-1.41,-1.58,0.00999999999999979,0.0300000000000011,-1.31,-1.37,-0.890000000000001,-1.63,-1.38,-1.02,-1.39,-1.63,0.480000000000002,-0.0199999999999996,-0.919999999999998,-0.9,0.240000000000002,-0.239999999999998,-1.29,-0.220000000000002,-0.48,1.16,0.75,0.200000000000003,-0.23,0.800000000000001,0.859999999999999,0.390000000000001,-0.74,1.91,-0.0200000000000014,1.63,0.879999999999999,-0.130000000000001,0.769999999999998,0.289999999999999,-0.209999999999997,1.31
"P Tracking Error",5.24,5.27,3.78,4.5,6.76,6.53,4.55,4.55,4.26,6.14,5.3,3.88,6.23,3.91,4.09,5.26,4.34,4.21,5.64,4.57,5.59,5.44,6.64,6.33,6.33,7.29,6.42,5.84,4.71,5.2,5.81,7.2,7.62,7.93,7.72,7.76,9.17,8.56,6.47,5.7
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.69,1.88,0.48,0.96,1.55,1.42,0.96,0.75,1.48,0.8,0.75,-0.09,0.47,-0.14,-0.5,0.06,0.11,0.62,0.53,0.3,0.09,0.12,0.02,0.24,0.3,0.24,0.16,0.12,0.15,-0.19,-0.35,-0.04,-0.15,0,-0.02,0.2,-0.17,0.05,-0.19,-0.06
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.77,0.82,0.21,0.51,0.87,0.81,0.44,0.36,0.44,0.35,0.14,-0.03,0.34,-0.02,-0.09,0.12,0.04,0.17,0.25,0.17,0.05,-0.07,-0.08,0.13,0.19,0.34,0.21,0.11,-0.05,-0.1,-0.13,-0.07,0.05,-0.02,0.08,0.21,0.01,0.01,-0.01,-0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.8,0.83,0.8,0.75,0.77,0.79,0.78,0.77,0.83,0.69,0.85,0.91,0.84,0.87,1,0.95,0.91,0.91,0.96,0.95,0.87,0.94,0.9,1,0.98,0.92,0.92,0.99,1.01,0.98,0.89,1.02,0.88,0.98,0.94,0.87,0.88,0.88,0.91,1.02
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",72.79,72.17,85.46,79.02,57.82,60.34,78.97,78.99,81.83,65.19,87.16,93.95,84.29,94.38,93.61,89.35,92.59,93.14,89.35,92.93,88.92,89.67,84.98,87.54,87.07,82.76,85.8,89,92.44,90.58,86.74,82.83,76.73,78.18,78.14,76.04,69.48,74.46,84.55,89.45
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
