"","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",33.502,34.311,35.355,31.089,25.334,33.092,14.285,18.641,22.197,21.69,17.704,10.122,4.383,-1.849,-1.179,-4.58
"B Annualized Returns",30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",3.419,3.984,10.657,7.066,0.928000000000001,-3.893,-7.31,-5.432,-1.736,3.605,-0.692999999999998,0.374000000000001,-0.413,2.293,1.988,1.942
"P Volatility",14.24,14.34,14.71,14.23,14.57,10.6,10.66,10.56,11.09,9.09,9.03,10.46,10.69,11.21,12.93,12.76
"B Volatility",12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",2.15,2.25,3.14,3.61,3.95,3.38,2.29,2.19,2.41,0.4,0.34,0.540000000000001,0.66,1.18,-0.0400000000000009,-0.0700000000000003
"P Tracking Error",7.83,7.81,8.01,6.81,7.55,7.79,7.58,7.8,8.51,6.56,6.64,6.72,5.53,5.74,5.72,5.82
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.44,0.51,1.33,1.04,0.12,-0.5,-0.96,-0.7,-0.2,0.55,-0.1,0.06,-0.07,0.4,0.35,0.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.73,0.6,0.74,-0.04,-0.2,-0.25,-0.36,-0.29,0.49,0.09,0.08,0,0.05,0.22,0.03,0.16
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.99,1.07,1.19,1.19,1,0.9,0.86,0.84,0.76,0.75,0.83,0.92,0.96,0.9,0.89
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.47,67.07,67.38,76.81,72.19,39.92,44.42,40.63,36.44,47.85,46.55,57.13,70.92,71.03,79.38,78.17
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.0803,-5.4611,-5.3539,-4.9343,-5.3949,-4.3701,-5.6175,-6.1246,-5.7264,-5.1539,-5.0432,-5.4937,-9.8814,-15.0936,-14.7367,-14.7492
"B Max Drawdown",-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.6875,2.3066,2.4139,2.1773,0.6962,-0.5463,-0.439299999999999,-0.9464,-0.5482,0.0243000000000002,0.135000000000001,0.8021,0.386700000000001,-0.2989,2.0472,2.0347
