"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.862,4.176,6.723,0.484,-1.907,-4.057,-0.867,-2.999,1.651,2.236,2.361,9.104,3.894,7.965,12.555,11.086,10.278,10.144,11.307,7.414,11.66,17.704,11.805,14.5,13.888,12.31,11.229,13.284,14.853,14.274,16.485,7.348,11.646,13.868
"B Annualized Returns",4.486,3.913,4.653,2.211,-4.458,-0.951,0.677,1.868,3.158,4.276,1.557,-0.442,2.986,2.577,4.083,5.489,7.515,7.407,7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",-3.624,0.263,2.07,-1.727,2.551,-3.106,-1.544,-4.867,-1.507,-2.04,0.804,9.546,0.908,5.388,8.472,5.597,2.763,2.737,3.316,-0.542000000000001,3.894,8.648,3.792,2.315,2.812,-2.272,-0.486000000000001,2.866,3.875,5.578,6.66,1.748,5.237,8.129
"P Volatility",14.3,13.24,13.09,13.2,19.34,22.6,23.92,25.77,16.69,17.62,15.9,21.43,18.09,23.05,21.78,24.35,21.71,20.88,13.86,15.79,17.03,23.15,23.58,23.91,24.86,16.58,18.12,19.92,19.53,21.4,24.89,28.94,30.07,32.06
"B Volatility",10.05,10.07,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",4.25,3.17,3.02,2.66,4.39,7.43,7.97,9.83,0.750000000000002,1.47,-0.249999999999998,5.15,0.91,5.65,4.76,7.3,4.45,3.83,-3.23,-1.54,-0.0799999999999983,6.1,6.95,7.17,8.68,0.859999999999998,2.56,4.34,3.78,5.76,9.17,12.99,13.6,15.59
"P Tracking Error",9.45,8.71,8.6,8.88,9.63,12.16,11.92,13.2,8.06,9.33,8.85,15.66,14.25,21.19,20.08,20.45,16.68,16.76,11.78,10.08,14.13,22.93,22.68,20.84,20.24,8.36,12.24,16.05,12.35,14.88,14.7,18.01,17.88,20.23
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
