"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",44.141,20.97,35.139,30.622,18.3,27.98,30.751,28.719,32.289,30.514,11.464,16.585,20.058,19.771,15.483,11.425,9.855,16.053,11.105,2.67,8.975,11.507,14.345,15.84,15.248,13.218,12.801,9.105,15.874,16.416,14.247,18.063,15.465,11.124,15.322,16.138,16.016,18.356,20.048,18.614,15.341,14.887,15.391,13.492,12.027,15.146,5.913,8.167,9.371
"B Annualized Returns",6.083,6.763,4.036,4.914,3.027,7.619,7.569,6.948,6.765,5.432,5.939,5.153,4.572,4.438,4.337,4.703,3.822,4.653,2.203,-4.976,-0.951,0.246,1.868,3.158,3.795,1.557,-0.385,2.953,2.577,3.608,5.489,7.515,7.602,7.96,8.055,7.766,8.864,8.013,12.328,11.076,14.582,11.667,10.418,10.978,8.347,9.334,5.6,6.071,5.739
"AR DIFF(P-B)",38.058,14.207,31.103,25.708,15.273,20.361,23.182,21.771,25.524,25.082,5.525,11.432,15.486,15.333,11.146,6.722,6.033,11.4,8.902,7.646,9.926,11.261,12.477,12.682,11.453,11.661,13.186,6.152,13.297,12.808,8.758,10.548,7.863,3.164,7.267,8.372,7.152,10.343,7.72,7.538,0.758999999999999,3.22,4.973,2.514,3.68,5.812,0.313000000000001,2.096,3.632
"P Volatility",17.08,13.3,21.9,20.55,12.75,15.83,21.26,23.74,23.82,25.38,11.07,24.83,21.18,20.55,16.43,12.65,13.65,14.22,10.84,19.37,21.35,24.46,25.47,19.66,22.09,22.33,21.25,20.2,21.03,19.39,20.44,21.28,21.41,18.67,20.42,20.45,18.94,19.91,20.56,19.32,19.24,20.84,20.39,20.39,19.77,21.69,20.47,23.61,22.63
"B Volatility",7.78,7.19,8.23,8.23,8.13,8.86,9.85,9.71,9.89,9.89,9.9,9.9,9.9,9.93,9.93,10.05,10.05,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16,16.15,16.15,17.18,17.4,17.02,17.05,17.26,17.07,16.85,17.09,17.11,17.05,16.63,16.74,16.18,15.72,15.37,15.58,15.75,15.64,15.72,15.95,16.46,16.47
"V DIFF(P-B)",9.3,6.11,13.67,12.32,4.62,6.97,11.41,14.03,13.93,15.49,1.17,14.93,11.28,10.62,6.5,2.6,3.6,4.15,0.300000000000001,4.42,6.18,8.51,9.53,3.72,6.09,6.18,5.1,3.02,3.63,2.37,3.39,4.02,4.34,1.82,3.33,3.34,1.89,3.28,3.82,3.14,3.52,5.47,4.81,4.64,4.13,5.97,4.52,7.15,6.16
"P Tracking Error",15.89,12.18,20.11,18.5,10.81,14.16,16.43,19.07,19.07,20.35,6.51,19.5,15.79,15.93,12.18,8.14,9.29,9.23,5.92,8.59,10.78,13.84,14.42,9.32,10.48,11.03,10.8,8.43,10.33,8.84,10.23,9.07,8.7,7.89,7.55,8.63,11.7,12.46,10.64,7.95,8.99,11.09,10.44,8.76,10.15,9.49,9.08,11.33,10.33
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.4,1.17,1.55,1.39,1.41,1.44,1.41,1.14,1.34,1.23,0.85,0.59,0.98,0.96,0.92,0.83,0.65,1.24,1.5,0.89,0.92,0.81,0.87,1.36,1.09,1.06,1.22,0.73,1.29,1.45,0.86,1.16,0.9,0.4,0.96,0.97,0.61,0.83,0.73,0.95,0.08,0.29,0.48,0.29,0.36,0.61,0.03,0.18,0.35
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.25,1.26,2.41,2.13,1.26,1.18,1.6,1.41,1.74,1.81,0.42,0.77,1.16,0.93,0.89,0.63,0.46,0.84,0.59,0.62,0.61,0.97,0.99,1,0.92,1,1.16,0.44,1.12,0.77,0.65,0.75,0.61,0.3,0.53,0.63,0.67,0.94,0.58,0.47,-0.11,0.2,0.28,0.12,0.19,0.2,0.07,0.07,0.28
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.82,0.78,1.06,1.09,0.84,0.82,1.44,1.56,1.54,1.68,0.91,1.7,1.52,1.35,1.12,0.96,1,1.08,0.87,1.17,1.24,1.3,1.37,1.09,1.24,1.22,1.14,1.07,1.05,1.01,1.04,1.12,1.16,1,1.12,1.09,0.88,0.94,1.05,1.09,1.09,1.16,1.13,1.18,1.09,1.27,1.16,1.29,1.25
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",11.47,15.08,13.22,16.64,26.84,18.59,42.74,38.99,39.14,40.91,65.08,44.56,48.77,41.12,43.89,57.41,52.29,56.87,70.89,81.57,76.66,70.96,72.42,77.37,79.93,77.56,74.6,82.44,75.33,78.59,74.3,82.3,84.59,81.63,86.9,82.17,61.86,59.9,72.58,83.16,77.98,72.25,74.06,83.05,73.36,84.21,81.34,80.53,81.84
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
