"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",71.78,19.48,61.339,17.611,22.583,38.502,21.807,11.326,10.082,45.144,9.913,0.855,3.086,9.739,9.452,14.946,11.606,10.935,-1.098,-9.986,-0.362,5.795,3.529,3.409,7.593,12.748,11.036,10.591,26.773,8.594,7.181,10.42,8.514,9.999,10.315,11.789,19.765,14.817,30.345,11.564,13.527,12.54,15.186,12.671,11.704,24.174,6.149,13.045,18.33
"B Annualized Returns",6.083,6.763,4.036,4.914,3.027,7.619,7.569,6.948,6.765,5.432,5.939,5.153,4.572,4.438,4.337,4.703,3.822,4.653,2.203,-4.976,-0.951,0.246,1.868,3.158,3.795,1.557,-0.385,2.953,2.577,3.608,5.489,7.515,7.602,7.96,8.055,7.766,8.864,8.013,12.328,11.076,14.582,11.667,10.418,10.978,8.347,9.334,5.6,6.071,5.739
"AR DIFF(P-B)",65.697,12.717,57.303,12.697,19.556,30.883,14.238,4.378,3.317,39.712,3.974,-4.298,-1.486,5.301,5.115,10.243,7.784,6.282,-3.301,-5.01,0.589,5.549,1.661,0.251,3.798,11.191,11.421,7.638,24.196,4.986,1.692,2.905,0.911999999999999,2.039,2.26,4.023,10.901,6.804,18.017,0.488,-1.055,0.872999999999999,4.768,1.693,3.357,14.84,0.549,6.974,12.591
"P Volatility",34.44,28.63,35.51,18.71,15.15,27.47,15.79,12.64,9.97,43.27,10.9,14.21,11.05,9.24,13.31,12.55,13.22,11.06,14.57,24.83,34.13,36.27,34.02,17.73,19.11,17.41,19.16,17.13,23.67,15.11,21.58,21.42,17.15,15.92,15.55,17.52,26.34,24.77,30.76,29.56,32.33,25.42,16.98,17.76,23.63,31.12,26.07,34.38,33.32
"B Volatility",7.78,7.19,8.23,8.23,8.13,8.86,9.85,9.71,9.89,9.89,9.9,9.9,9.9,9.93,9.93,10.05,10.05,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16,16.15,16.15,17.18,17.4,17.02,17.05,17.26,17.07,16.85,17.09,17.11,17.05,16.63,16.74,16.18,15.72,15.37,15.58,15.75,15.64,15.72,15.95,16.46,16.47
"V DIFF(P-B)",26.66,21.44,27.28,10.48,7.02,18.61,5.94,2.93,0.0800000000000001,33.38,1,4.31,1.15,-0.69,3.38,2.5,3.17,0.99,4.03,9.88,18.96,20.32,18.08,1.79,3.11,1.26,3.01,-0.0500000000000007,6.27,-1.91,4.53,4.16,0.0799999999999983,-0.930000000000001,-1.54,0.41,9.29,8.14,14.02,13.38,16.61,10.05,1.4,2.01,7.99,15.4,10.12,17.92,16.85
"P Tracking Error",32.58,27.18,33.83,17.07,13.95,26.13,11.08,7.98,7.5,38.82,6.85,8.28,6.82,12.2,15.49,14.75,15.56,10.87,11.1,13.65,24.9,26.37,24.3,10.23,7.68,12.28,15.08,16.49,16.28,12.68,19.68,12.95,8.22,5.18,9.5,12.73,24.09,23.84,21.89,16.12,20.26,14.76,10.13,10.5,19.72,21.19,14.75,22.87,22.15
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.02,0.47,1.69,0.74,1.4,1.18,1.29,0.55,0.44,1.02,0.58,-0.52,-0.22,0.43,0.33,0.69,0.5,0.58,-0.3,-0.37,0.02,0.21,0.07,0.02,0.49,0.91,0.76,0.46,1.49,0.39,0.09,0.22,0.11,0.39,0.24,0.32,0.45,0.29,0.82,0.03,-0.05,0.06,0.47,0.16,0.17,0.7,0.04,0.3,0.57
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
