"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.792,6.246,27.045,1.428,4.2,6.367,7.921,8.452,6.943,2.321,-3.355,11.151,-3.902,7.174,16.924,7.324,13.304,7.274,1.454,0.425,6.548,8.424,9.293,12.242,14.297,10.75,10.291,19.069,14.503,14.678,15.929,15.421,16.063,15.246,16.024,15.292,22.916,10.437,16.461,18.921
"B Annualized Returns",5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",1.67,0.0540000000000003,21.892,-3.161,-0.334,2.03,3.565,4.539,2.473,0.11,1.103,11.745,-5.086,5.306,13.766,3.579,11.747,7.202,-1.532,-2.152,1.173,2.935,1.778,4.818,6.356,2.794,2.52,10.013,6.336,2.492,4.853,0.838999999999999,4.832,4.828,5.046,6.351,13.091,5.249,9.336,13.182
"P Volatility",15.41,14.42,15.21,11.69,11.82,10.17,10.46,11,10.81,11.73,16.16,25.21,23.36,27.47,22.18,20.87,24.39,26.04,19.38,14.77,18.61,17.12,15.05,14.6,15.41,14.17,18.38,23.44,22.36,24.68,25.88,22.12,25.9,22.27,22.93,24.54,34.37,36.14,33.77,34.33
"B Volatility",10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",5.33,4.52,5.31,1.79,1.89,0.24,0.41,0.93,0.66,1.19,1.21,9.37,7.41,11.53,6.24,4.72,8.24,9.76,2.2,-2.63,1.59,0.0700000000000003,-2.21,-2.45,-1.68,-3.16,1.29,6.39,5.86,7.94,9.7,6.4,10.34,6.69,7.18,8.9,18.65,19.68,17.3,17.86
"P Tracking Error",11.05,8.96,10.56,6.57,7.39,6.7,7.52,7.81,8.48,9.14,9.69,18.66,11.96,21.11,18.9,12.53,18.18,18.53,11.41,10.9,13.2,13.67,10.04,16.68,15.84,12.23,17.04,25.02,21.28,19.98,17.6,10.01,14.09,11.53,11.45,12.99,23.31,24.29,22.33,22.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
