"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.374,17.012,11.998,48.799,12.607,13.023,46.248,48.003,55.42,22.975,3.132,29.074,38.035,32.994,24.587,7.336,5.728,23.937,21.937,13.758,19.27,19.985,27.308,29.657,25.584,17.354,19.443,6.704,8.978,27.524,23.171,28.633,24.039,10.439,22.275,22.571,12.824,26.227,10.492,28.265,14.275,18.184,18.515,15.191,13.896,8.37,5.705,3.57,0.79
"B Annualized Returns",6.083,6.763,4.036,4.914,3.027,7.619,7.569,6.948,6.765,5.432,5.939,5.153,4.572,4.438,4.337,4.703,3.822,4.653,2.203,-4.976,-0.951,0.246,1.868,3.158,3.795,1.557,-0.385,2.953,2.577,3.608,5.489,7.515,7.602,7.96,8.055,7.766,8.864,8.013,12.328,11.076,14.582,11.667,10.418,10.978,8.347,9.334,5.6,6.071,5.739
"AR DIFF(P-B)",16.291,10.249,7.962,43.885,9.58,5.404,38.679,41.055,48.655,17.543,-2.807,23.921,33.463,28.556,20.25,2.633,1.906,19.284,19.734,18.734,20.221,19.739,25.44,26.499,21.789,15.797,19.828,3.751,6.401,23.916,17.682,21.118,16.437,2.479,14.22,14.805,3.96,18.214,-1.836,17.189,-0.307,6.517,8.097,4.213,5.549,-0.964,0.105,-2.501,-4.949
"P Volatility",10.52,9.63,18.33,34.58,16.21,9.84,35.84,39.65,38.1,15.69,14.55,41.11,34.4,36.25,28.78,24.64,27.54,24.68,13.4,23.9,18.34,22.8,26.85,23.74,31.12,35.09,30.46,31.58,23.28,28.55,28.46,25.75,30.23,25.63,32.19,30.17,18.3,24.45,15.46,18.32,22.94,26.14,29.24,28.82,24.05,22.17,24.56,27.42,24.28
"B Volatility",7.78,7.19,8.23,8.23,8.13,8.86,9.85,9.71,9.89,9.89,9.9,9.9,9.9,9.93,9.93,10.05,10.05,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16,16.15,16.15,17.18,17.4,17.02,17.05,17.26,17.07,16.85,17.09,17.11,17.05,16.63,16.74,16.18,15.72,15.37,15.58,15.75,15.64,15.72,15.95,16.46,16.47
"V DIFF(P-B)",2.74,2.44,10.1,26.35,8.08,0.98,25.99,29.94,28.21,5.8,4.65,31.21,24.5,26.32,18.85,14.59,17.49,14.61,2.86,8.95,3.17,6.85,10.91,7.8,15.12,18.94,14.31,14.4,5.88,11.53,11.41,8.49,13.16,8.78,15.1,13.06,1.25,7.82,-1.28,2.14,7.22,10.77,13.66,13.07,8.41,6.45,8.61,10.96,7.81
"P Tracking Error",12.14,10.56,17.68,32.98,14.48,10.36,32.11,35.8,33.9,12.71,15.11,36.75,29.85,31.74,23.83,18.95,22.35,19.7,10.43,16.74,11.18,17.47,18.11,14.26,21.92,24.04,19.48,18.23,12.09,16.85,15.67,13.06,17.6,17.16,19.4,17.4,6.63,12.98,10.11,15.34,22.71,20.83,20.14,17.69,12.59,12.41,18.27,20.88,19.23
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.34,0.97,0.45,1.33,0.66,0.52,1.2,1.15,1.44,1.38,-0.19,0.65,1.12,0.9,0.85,0.14,0.09,0.98,1.89,1.12,1.81,1.13,1.4,1.86,0.99,0.66,1.02,0.21,0.53,1.42,1.13,1.62,0.93,0.14,0.73,0.85,0.6,1.4,-0.18,1.12,-0.01,0.31,0.4,0.24,0.44,-0.08,0.01,-0.12,-0.26
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.61,1.33,0.76,3.54,0.8,0.61,2.66,2.7,3.3,1.3,0.04,1.87,2.46,1.7,1.47,0.32,0.03,1.3,1.36,1.59,1.03,1.75,2.04,2,1.78,1.45,1.79,0.22,0.56,1.39,1.35,1.7,1.17,0.26,0.77,0.98,0.38,1.3,0.05,1.56,0.58,0.7,0.43,0.11,0.13,-0.19,-0.09,-0.15,-0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
