"","3 Y 2015-08-28 to 2018-09-02","3 Y 2015-09-28 to 2018-10-03","3 Y 2015-10-28 to 2018-11-02","3 Y 2015-11-30 to 2018-12-03","3 Y 2015-12-29 to 2019-01-02","3 Y 2016-01-28 to 2019-02-02","3 Y 2016-02-29 to 2019-03-05","3 Y 2016-03-28 to 2019-04-02","3 Y 2016-04-28 to 2019-05-03","3 Y 2016-05-30 to 2019-06-02","3 Y 2016-06-28 to 2019-07-03","3 Y 2016-07-28 to 2019-08-02","3 Y 2016-08-29 to 2019-09-02","3 Y 2016-09-28 to 2019-10-03","3 Y 2016-10-28 to 2019-11-02","3 Y 2016-11-28 to 2019-12-03","3 Y 2016-12-28 to 2020-01-02","3 Y 2017-01-30 to 2020-02-02","3 Y 2017-02-28 to 2020-03-04","3 Y 2017-03-28 to 2020-04-02","3 Y 2017-04-28 to 2020-05-03","3 Y 2017-05-29 to 2020-06-02","3 Y 2017-06-28 to 2020-07-03","3 Y 2017-07-28 to 2020-08-02","3 Y 2017-08-28 to 2020-09-02","3 Y 2017-09-28 to 2020-10-03","3 Y 2017-10-30 to 2020-11-02","3 Y 2017-11-28 to 2020-12-03","3 Y 2017-12-28 to 2021-01-02","3 Y 2018-01-29 to 2021-02-02","3 Y 2018-02-28 to 2021-03-05","3 Y 2018-03-28 to 2021-04-02","3 Y 2018-04-30 to 2021-05-03","3 Y 2018-05-28 to 2021-06-02","3 Y 2018-06-28 to 2021-07-03","3 Y 2018-07-30 to 2021-08-02","3 Y 2018-08-28 to 2021-09-02","3 Y 2018-09-28 to 2021-10-03","3 Y 2018-10-29 to 2021-11-02","3 Y 2018-11-28 to 2021-12-03","3 Y 2018-12-28 to 2022-01-02","3 Y 2019-01-28 to 2022-02-02","3 Y 2019-02-28 to 2022-03-05","3 Y 2019-03-28 to 2022-04-02","3 Y 2019-04-29 to 2022-05-03","3 Y 2019-05-28 to 2022-06-02","3 Y 2019-06-28 to 2022-07-03","3 Y 2019-07-29 to 2022-08-02","3 Y 2019-08-28 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",50.774,18.285,40.963,34.93,17.831,27.118,35.024,32.291,36.8,34.975,6.555,16.86,22.832,22.688,17.438,11.255,8.78,17.763,11.553,3.32,10.362,13.51,16.617,18.07,17.274,15.103,15.398,8.683,18.569,18.709,15.702,20.185,16.797,10.22,16.603,17.406,16.259,20.705,21.47,20.431,13.901,15.446,16.865,13.951,12.816,16.9,5.926,8.536,10.324
"B Annualized Returns",6.083,6.763,4.036,4.914,3.027,7.619,7.569,6.948,6.765,5.432,5.939,5.153,4.572,4.438,4.337,4.703,3.822,4.653,2.203,-4.976,-0.951,0.246,1.868,3.158,3.795,1.557,-0.385,2.953,2.577,3.608,5.489,7.515,7.602,7.96,8.055,7.766,8.864,8.013,12.328,11.076,14.582,11.667,10.418,10.978,8.347,9.334,5.6,6.071,5.739
"AR DIFF(P-B)",44.691,11.522,36.927,30.016,14.804,19.499,27.455,25.343,30.035,29.543,0.616,11.707,18.26,18.25,13.101,6.552,4.958,13.11,9.35,8.296,11.313,13.264,14.749,14.912,13.479,13.546,15.783,5.73,15.992,15.101,10.213,12.67,9.195,2.26,8.548,9.64,7.395,12.692,9.142,9.355,-0.681000000000001,3.779,6.447,2.973,4.469,7.566,0.326000000000001,2.465,4.585
"P Volatility",19.71,15.74,24.94,23.3,14.02,18.23,23.98,27.3,26.93,28.55,9.62,28.95,24.07,23.31,18.62,14.18,15.56,16.05,11.09,21.18,23.54,26.93,28.41,20.39,23.7,24.23,22.7,21.08,22.15,20.17,21.7,22.57,23.19,19.41,21.78,21.82,19.82,21.22,21.75,20.04,20.21,22.73,22.06,21.99,20.8,23.63,21.68,26.16,24.36
"B Volatility",7.78,7.19,8.23,8.23,8.13,8.86,9.85,9.71,9.89,9.89,9.9,9.9,9.9,9.93,9.93,10.05,10.05,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16,16.15,16.15,17.18,17.4,17.02,17.05,17.26,17.07,16.85,17.09,17.11,17.05,16.63,16.74,16.18,15.72,15.37,15.58,15.75,15.64,15.72,15.95,16.46,16.47
"V DIFF(P-B)",11.93,8.55,16.71,15.07,5.89,9.37,14.13,17.59,17.04,18.66,-0.280000000000001,19.05,14.17,13.38,8.69,4.13,5.51,5.98,0.550000000000001,6.23,8.37,10.98,12.47,4.45,7.7,8.08,6.55,3.9,4.75,3.15,4.65,5.31,6.12,2.56,4.69,4.71,2.77,4.59,5.01,3.86,4.49,7.36,6.48,6.24,5.16,7.91,5.73,9.7,7.89
"P Tracking Error",18.45,14.58,23.18,21.28,12.31,17.19,19.33,22.8,22.39,23.63,7.89,23.76,18.82,18.91,14.63,9.87,11.5,11.17,6.75,10.52,13.16,16.76,17.66,11.01,12.39,13.28,12.78,9.8,12.03,10.16,12.07,10.42,10.52,9.2,8.73,10.14,13.91,14.85,12.59,9.14,10.94,13.6,12.71,10.68,11.88,11.64,10.83,14.43,12.83
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
