"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.407,-1.472,6.788,4.627,12.478,8.587,5.547,8.073,5.575,8.102,7.987,11.262,8.615,6.965,12.13,14.846,2.636,14.372,12.527,4.395,14.676,30.3,28.735,22.919,18.039,9.752,9.143,10.523,11.696,15.854,25.688,14.781,13.624,22.831,14.341,14.052,17.851,16.424,28.394,37.139,89.08,61.482,58.948,39.709,35.601,36.109
"B Annualized Returns",1.873,-2.671,1.097,1.845,2.808,3.49,3.151,5.602,4.499,5.085,2.701,2.046,3.169,2.707,5.111,3.634,-5.519,-1.692,-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",-1.466,1.199,5.691,2.782,9.67,5.097,2.396,2.471,1.076,3.017,5.286,9.216,5.446,4.258,7.019,11.212,8.155,16.064,13.438,5.526,14.731,28.128,27.717,21.146,11.145,-0.347,2.526,4.422,4.251,8.197,14.105,3.931,2.252,10.07,3.814,1.051,6.198,3.714,16.416,22.491,62.067,42.354,42.144,27.937,26.019,28.436
"P Volatility",10.51,11.19,13.25,14.02,14.27,15.21,13.57,15.03,11.86,13.08,11.94,14.99,13.41,14.19,14.46,13.94,18.18,17.26,14.71,17.33,18.87,24.45,24.37,26.16,27.9,18.63,19.61,22.2,21.85,24.3,27.91,34.18,33.42,35.06,32.97,35.38,41.54,34.44,40.93,25.4,30.6,23.44,26.46,24.19,29.86,28.19
"B Volatility",8.02,9.4,9.4,11.64,11.65,11.8,11.8,11.98,11.98,11.98,11.72,11.72,12.03,11.96,11.96,12.2,17.88,18.1,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",2.49,1.79,3.85,2.38,2.62,3.41,1.77,3.05,-0.120000000000001,1.1,0.219999999999999,3.27,1.38,2.23,2.5,1.74,0.300000000000001,-0.84,-4.38,-1.69,-0.149999999999999,5.04,5.64,7.28,8.66,-0.0600000000000023,1.39,3.85,3.17,6.11,9.66,15.51,15.14,16.81,14.37,16.8,22.87,15.77,22.62,13.95,19.15,12.56,15.34,13.07,17.44,15.93
"P Tracking Error",8.8,7.74,9.54,9.45,8.96,10.07,8.84,9.21,8.83,9.79,9.1,14.8,13.16,17.59,16.98,15.62,13.25,13.38,10.48,9.33,13.37,21.6,20.37,19.42,21.73,6.24,11,17.33,11.84,16.67,15.42,20.43,19.89,22.33,18.87,21.19,27.76,20.58,27.33,19.07,24.41,19.2,21.65,20.29,22.87,21.43
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.17,0.15,0.6,0.29,1.08,0.51,0.27,0.27,0.12,0.31,0.58,0.62,0.41,0.24,0.41,0.72,0.62,1.2,1.28,0.59,1.1,1.3,1.36,1.09,0.51,-0.06,0.23,0.26,0.36,0.49,0.91,0.19,0.11,0.45,0.2,0.05,0.22,0.18,0.6,1.18,2.54,2.21,1.95,1.38,1.14,1.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.01,0.21,0.47,0.33,0.79,0.3,0.32,0.26,0.36,0.41,0.58,0.71,0.58,0.85,1.02,0.82,0.3,0.6,0.93,0.67,1.13,2.26,2.1,1.8,0.93,0.3,0.27,0.3,0.12,0.66,0.84,0.68,0.17,0.32,-0.22,-0.16,-0.11,-0.07,1.16,1.56,2.04,2.07,2.46,2.31,1.87,1.99
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.76,0.87,0.98,0.9,0.95,0.97,0.88,0.99,0.72,0.76,0.72,0.52,0.52,0.12,0.22,0.33,0.74,0.68,0.65,0.79,0.74,0.67,0.75,0.93,0.91,0.94,0.9,0.79,0.98,0.97,1.31,1.58,1.58,1.6,1.56,1.66,1.87,1.59,1.88,1.57,1.8,1.26,1.44,1.2,1.69,1.62
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",30.2,51.13,45.8,53.16,58.84,54.15,56.62,60.6,50.45,46.31,47.22,12.57,18.31,-3.65,-1.18,4.11,51.1,48.66,68.9,74.96,54.32,25.25,30.49,42.57,36.79,88.59,67.97,39.42,69.21,50.74,72.39,72.92,73.39,67.59,75.98,75.17,69.2,73.46,69.72,47.91,42.69,31.2,33.36,27.2,47.28,46.94
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.7369,-18.7716,-12.8034,-13.6442,-12.7306,-15.944,-15.5022,-16.9583,-12.9313,-14.2274,-13.5876,-16.3673,-14.7629,-16.7836,-16.5016,-17.4281,-33.6159,-30.0977,-25.7755,-30.3487,-29.187,-26.3449,-26.6756,-30.5979,-31.8679,-31.1184,-31.5181,-27.6665,-33.0984,-30.328,-39.2213,-47.3395,-47.6094,-48.9342,-47.4287,-50.0997,-55.932,-50.5617,-54.0622,-44.9785,-14.7538,-13.4844,-12.629,-19.9342,-26.1813,-26.2384
"B Max Drawdown",-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-4.874,-5.327,0.6412,-0.1996,0.713999999999999,-2.4994,-2.0576,-3.5137,0.513299999999999,-0.7828,-0.143000000000001,-2.9226,-1.3183,-3.339,-3.057,-3.9835,2.1106,5.6288,9.951,5.3778,6.5395,9.3816,9.0509,5.1286,3.8586,4.6081,4.2084,8.06,2.6281,5.3985,-3.4948,-11.613,-11.8829,-13.2077,-11.7022,-14.3732,-20.2055,-14.8352,-18.3357,-13.6259,-6.986,-5.7166,-2.3609,-5.1395,-9.3974,-9.4545
