"","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.657,8.917,2.543,4.45,7.918,7.557,6.838,11.694,3.054,9.86,9.339,-8.843,-5.297,-22.076,-17.024,-22.387
"B Annualized Returns",30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",-16.426,-21.41,-22.155,-19.573,-16.488,-29.428,-14.757,-12.379,-20.879,-8.225,-9.058,-18.591,-10.093,-17.934,-13.857,-15.865
"P Volatility",16.22,17.21,10.79,11.29,9.25,13.49,14.23,13.88,16.37,12.43,12.64,17.98,17.07,16.98,18.9,21.23
"B Volatility",12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",4.13,5.12,-0.780000000000001,0.67,-1.37,6.27,5.86,5.51,7.69,3.74,3.95,8.06,7.04,6.95,5.93,8.4
"P Tracking Error",15.74,17.06,13.37,13.2,10.42,11.27,10.13,9.19,9.76,4.51,4.56,9.27,8.17,8.64,8.4,11.45
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-1.04,-1.25,-1.66,-1.48,-1.58,-2.61,-1.46,-1.35,-2.14,-1.82,-1.99,-2.01,-1.24,-2.08,-1.65,-1.39
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.46,-0.34,-0.67,-0.14,0.54,-1.41,-1.36,-1.35,-1.94,-1.3,-1.41,-2.19,-1.4,-1.88,-1.72,-1.13
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.55,0.52,0.27,0.29,0.4,1.03,1.21,1.27,1.65,1.39,1.42,1.71,1.62,1.56,1.35,1.47
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",7.7,3.55,-1.96,-2.69,12.09,22.55,45.45,54.23,73.57,93.5,94.8,87.36,89.16,83.57,84.53,76.65
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.402,-16.7028,-16.357,-16.1852,-15.331,-13.9055,-12.6695,-11.7818,-13.0102,-11.7866,-12.4794,-16.6144,-19.3538,-28.2206,-28.4385,-28.0009
"B Max Drawdown",-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-7.6342,-8.9351,-8.5892,-9.0736,-9.2399,-10.0817,-7.4913,-6.6036,-7.832,-6.6084,-7.3012,-10.3186,-9.0857,-13.4259,-11.6546,-11.217
