"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",19.608,23.963,22.131,15.329,17.375,20.834,22.917,38.089,25.475,7.849,-19.685,-0.303,6.399,6.272,15.385,7.651,15.824,23.87,24.32,24.293,21.997,22.388,53.706,15.046,24.128,12.51,3.635,8.886,-4.078,4.757,3.888,6.698,-11.674,8.02,9.248,-2.439,-7.455,-11.643,-15.643,-14.475
"B Annualized Returns",1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",17.864,20.85,21.909,14.716,14.708,10.639,12.986,19.661,12.778,5.049,-2.102,9.678,9.305,11.471,15.53,5.296,16.424,30.293,21.696,21.879,19.753,14.544,17.45,-13.051,-4.107,-17.817,-21.063,-15.338,-28.484,-31.628,-17.707,-17.375,-34.312,-10.065,-9.149,-13.248,-13.846,-7.501,-11.918,-7.953
"P Volatility",23.5,22.39,21.74,23.29,18.46,20.17,19.73,12.79,11.02,11.22,25.37,26.23,35.2,33.95,33.79,34.14,33.94,31.78,37.19,36.84,33.36,21.59,20.06,13.29,13.33,16.52,10.56,10.31,11.41,14.22,15.41,14.91,17.64,15.51,15.96,20.24,19.19,18.49,19.13,19.98
"B Volatility",15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",7.91,6.54,5.91,7.46,5.05,6.76,9.03,5.87,4.1,2.36,4.95,4.77,11.88,10.63,10.47,10.13,9.82,7.83,11.03,10.68,7.85,7.49,5.96,1.1,1.24,4.43,-1.01,-0.309999999999999,0.790000000000001,7,7.04,6.54,8.96,6.82,7.27,10.32,9.16,8.46,6.13,7.15
"P Tracking Error",11.89,10.29,10.85,9.55,11.27,12.03,12.95,15.22,12.86,8.89,9.9,11.32,17.3,17.22,16.24,12.72,12.99,10.31,14.58,13.81,11.8,11.48,13.86,11.42,12.98,16.17,13.5,13.76,14.12,12.29,12.75,11.16,12.63,11.01,10.92,12.13,12.13,11.11,11.14,12.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
