"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.997,9.266,0.198,-5.817,2.096,7.353,9.411,16.367,7.585,7.378,7.588,6.55,2.891,-6.274,6.386,11.716,17.713,13.648,19.512,10.193,15.983,33.505,34.284,29.145,28.546,21.469,21.488,13.703,-9.111,17.674,6.794,-22.406,-16.829,-5.414,-12.941,-19.055,5.124,4.185,9.682,41.325,124.151,73.202,78.055,65.451,52.443,60.403,83.079,79.332,37.796,42.542,43.786,40.888,36.557,33.087,28.342,4.045,6.006,-6.34
"B Annualized Returns",7.177,6.376,3.305,-0.535,-2.091,0.623,4.862,8.158,8.504,9.509,2.736,-4.796,-3.194,-10.927,-1.605,4.275,7.938,6.856,1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",-6.18,2.89,-3.107,-5.282,4.187,6.73,4.549,8.209,-0.919,-2.131,4.852,11.346,6.085,4.653,7.991,7.441,9.775,6.792,17.768,7.08,15.761,32.892,31.617,18.95,18.615,3.041,8.791,10.903,8.472,27.655,9.7,-17.207,-16.684,-7.769,-12.341,-12.632,2.5,1.771,7.438,33.481,87.895,45.105,49.82,35.124,27.745,36.179,58.673,42.947,16.201,18.469,21.148,22.803,18.16,22.278,21.951,8.187,9.731,0.182
"P Volatility",6.27,6.94,11.02,12.01,12.49,15.63,13.88,14.15,12.81,14.6,13.36,18.16,16.67,17.77,16.96,14.46,14.08,12.95,10.19,9.5,5.88,8.18,11.79,11.27,10.76,4,6.49,13.38,19.73,20.09,37.43,39.27,39.22,42.42,39.07,42.05,56.74,47.6,55,30.58,39.26,29.43,33.18,31.31,33.84,32.05,32.83,18.09,16.63,16.37,15.6,10.65,10.68,11.31,12.46,12.9,18.36,16.37
"B Volatility",5.31,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",0.96,2,5.6,5.52,5.74,8.32,6.57,6.51,5.05,6.84,6.3,7.88,6.1,5.32,4.51,-1.28,-1.5,-2.64,-5.4,-6.35,-9.95,-7.65,-1.62,-2.14,0.0600000000000005,-2.92,-0.43,4.52,-0.690000000000001,-1.37,14.11,15.95,15.9,18.41,14.95,18.1,30.58,21.44,29.49,16.48,25.16,17.24,21.09,19.22,22.27,21.43,22.21,10.87,8.26,8,6.92,1.96,1.99,1.39,2.43,2.87,5.36,3.54
"P Tracking Error",6.03,7.61,9.62,9.22,10.35,11.95,10.11,10.18,10.19,12.11,10.74,17.82,16.44,21.4,20.05,17.25,14.79,15.14,11.09,10.45,12.1,17.9,18.81,17.61,14.23,5.28,7.26,13.08,8.57,9.87,20.78,20.1,20.24,25.42,19.53,23.51,35.73,26.72,33.36,20.86,29.09,21.76,26.13,23.6,24.67,24.78,25.65,18.19,15.68,15.71,16.46,11.44,12.08,10.26,13.95,12.42,13.69,12.83
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
